ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Audio_Status
krd_002001_grammar,,Sinabigishije kuvuga gurtyo,Je ne t'ai pas appris à parler comme ça,I didn’t teach you to speak like that,grammar,,,,,,,pending
krd_002002_proverbs,,Sinabíkoze yakóze umugabo mw'īrúgu.,"Plus le déni est fort, plus la culpabilité est profonde.","The louder the denial, the deeper the guilt.",proverbs,,,,,,,pending
krd_002003_proverbs,,Sinakunze kino gitabo.,Je n'ai pas aimé ce livre.,I didn't like this book.,proverbs,,,,,,,pending
krd_002004_proverbs,,Sinakunze kino gitabu.,Je n'ai pas aimé ce livre.,I didn't like this book.,proverbs,,,,,,,pending
krd_002005_action-verbs,,Sinatahuye neza.,Je n'ai pas bien compris.,I didn't quite understand.,action-verbs,,,,,,,pending
krd_002006_grammar,,Sindanamuzi,je ne le connais pas du tout,I don’t know him at all,grammar,,,,,,,pending
krd_002007_grammar,,Sindibube ndima,je ne vais pas biner,I am not going to hoe,grammar,,,,,,,pending
krd_002008_grammar,,Sinigeze kugenda i Bururi,Je ne suis encore jamais allé à Bururi,I have never yet gone to Bururi,grammar,,,,,,,pending
krd_002009_proverbs,,Sinkunda epinari.,Je n'aime pas les épinards.,I don't like spinach.,proverbs,,,,,,,pending
krd_002010_action-verbs,,Sinshobora,Je ne peux pas.,I can't.,action-verbs,,,,,,,pending
krd_002011_grammar,,"Sinshobora kuguhemba ubu, ariko mw iyinga riza nzoba mfise amafaranga akwiye","Je ne peux pas te payer maintenant, mais la semaine prochaine j'aurai assez d'argent","I can’t pay you now, but next week I will have enough money",grammar,,,,,,,pending
krd_002012_jokes,,Sinshobóra kwîyumvīsha Ingéne ibīntu vyöse vyàádūze ibicîro aríko imibú ikaguma itúrya ku būntu.,"Je ne comprends pas pourquoi les prix de tout explosent, alors que les moustiques continuent de nous dévorer gratuitement","I can't comprehend why the costs of everything are soaring, yet mosquitoes persist in feasting on us without charge.",jokes,,,,,,,pending
krd_002013_proverbs,,Sinywa ibiboreza.,Je ne bois pas d'alcool.,I don't drink alcohol.,proverbs,,,,,,,pending
krd_002014_proverbs,,Sinywa inzoga.,Je ne bois pas d'alcool.,I don't drink alcohol.,proverbs,,,,,,,pending
krd_002015_grammar,,Sinzi ivyabaye,Je ne sais pas ce qui s'est passé.,I don’t know what happened.,grammar,,,,,,,pending
krd_002016_grammar,,Sinzi ko azokira,Je ne sais pas s'il ira mieux,I don’t know if he will get well,grammar,,,,,,,pending
krd_002017_grammar,,Sinzoba ndiko ndakora,je ne serai pas,I will not be,grammar,,,,,,,pending
krd_002018_grammar,,Sinzokwigera mbesha,Je ne mentirai jamais,I shall never lie,grammar,,,,,,,pending
krd_002019_idioms,,Sumuntu akunda gukoranako.,Elle n'est pas du genre câlineuse.,She's not the cuddly type.,idioms,,,,,,,pending
krd_002020_proverbs,,Só akwănka akuraga ivyămunaniye.,Un mauvais père laisse un héritage de problèmes non résolus à ses enfants.,A bad father leaves a legacy of unfinished business for his children to tackle.,proverbs,,,,,,,pending
krd_002021_proverbs,,Só ntákwănka akwīta nâbí.,"Le cœur d'un père est toujours affectueux, même si ses mots semblent durs.","A father's heart is always fond, even if his words seem harsh.",proverbs,,,,,,,pending
krd_002022_proverbs,,Sīndyá aka ahinyuzwa n'úmusáse.,Ne pas manger le soir entraîne des regrets le matin.,Not eating at night results in morning regre.,proverbs,,,,,,,pending
krd_002023_action-verbs,,Terefone yanje iri hehe?,Où est mon téléphone?,Where is my phone?,action-verbs,,,,,,,pending
krd_002024_grammar,,Terefone yanje ntikora.,Mon téléphone ne fonctionne pas.,My phone doesn't work.,grammar,,,,,,,pending
krd_002025_action-verbs,,"Tora , ambara ibi.","Tiens, enfile ça.","Here, put this on.",action-verbs,,,,,,,pending
krd_002026_location,,Tubana n'uruganda ruhingura imikate,Nous habitons près du boulangerie.,We live near the bakery.,location,,,,,,,pending
krd_002027_general,,Tubeho muri uno mwanya.,Vivons le moment présent.,Let's live in the present moment.,general,,,,,,,pending
krd_002028_general,,Tubeho muri iki gihe.,Vivons le moment présent.,Let's live in the present moment.,general,,,,,,,pending
krd_002029_proverbs,,Tubiri tuvūrana ubúpfu.,"En temps de difficulté, deux individus sont censés s'entraider.","In times of hardship, two individuals are meant to lend each other a helping hand.",proverbs,,,,,,,pending
krd_002030_action-verbs,,Tugende kw'ishuri.,Allons à l'école.,Let's go to school.,action-verbs,,,,,,,pending
krd_002031_action-verbs,,Tugende kw'isoko.,Allons au marché.,Let's go to the market.,action-verbs,,,,,,,pending
