ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Audio_Status
krd_002101_action-verbs,,Twavuze gose,Nous avons beaucoup parlé.,We talked a lot.,action-verbs,,,,,,,pending
krd_002102_proverbs,,Twebwe twijanira n’ibihe kuko ivy’imico ntavyo tuzi.,Nous vivons avec notre époque parce que les cultures ne se connaissent pas.,We live with our times because cultures do not know each other.,proverbs,,,,,,,pending
krd_002103_grammar,,Twihane kugira ngo tuze tuje mw ijuru,Repentons-nous pour pouvoir aller au ciel.,Let us repent so that we may go to heaven.,grammar,,,,,,,pending
krd_002104_proverbs,clips/proverbs/prov038.mp3,Ubana na Suneba ugasunebeza nkawe!,Tel père tel fils.,Like father like son.,proverbs,,,,,,,recorded
krd_002105_proverbs,clips/proverbs/prov010.mp3,Ubana na suneba ugasuneba nka we.,"Lorsque vous restez avec une personne imprudente, vous finissez par devenir insouciant tout comme lui.","When you stay with a careless person, you end up becoming careless just like him.",proverbs,,,,,,,recorded
krd_002106_action-verbs,,Ubu Ndashonje.,J'ai faim maintenant.,I'm hungry now.,action-verbs,,,,,,,pending
krd_002107_jokes,,Ubu marisēriná yarāye yîse Umwâna Īngabíre don gift?,"Eh bien, mon amie Martina vient de donner à son enfant Ingabire Don gift, comme nom.","But guess what? Well, my friend Martina just named her kid Ingabire Don Gift.",jokes,,,,,,,pending
krd_002108_proverbs,,Ubugabo burîhābwa.,La vraie valeur d'un homme se mesure à ses actes.,The true worth of a man is measured by his deeds.,proverbs,,,,,,,pending
krd_002109_proverbs,,Ubugabo sí urucúmu.,La vraie virilité ne consiste pas à inspirer la peur aux autres.,True manliness is not about striking fear into others.,proverbs,,,,,,,pending
krd_002110_proverbs,clips/proverbs/prov034.mp3,Ubugirirgiri bugira babiri,Une entreprise astucieuse nécessite deux personnes.,An astute undertaking requires two persons.,proverbs,,,,,,,recorded
krd_002111_proverbs,,Ubugâbá bw'úmugabo ní bwo búryo bwîwé.,"Dans ses lacunes, un homme trouve ses solutions.","In his shortcomings, a man finds his solutions.",proverbs,,,,,,,pending
krd_002112_proverbs,,Ubugírigíri bugira babiri.,"Dans la jeunesse, les vices communs lient les jeunes cœurs.","In youth, common vices bind young hearts.",proverbs,,,,,,,pending
krd_002113_proverbs,,Ubugúfi sí indwâra.,Être de petite taille n'est pas une maladie.,Being small in size is not a disease.,proverbs,,,,,,,pending
krd_002114_proverbs,,Ubujá gushá buratagata.,Un bon départ est le signe d'un résultat réussi.,A promising beginning is a sign of a successful outcome.,proverbs,,,,,,,pending
krd_002115_jokes,,"Ubukené níbwo butwùúmvīsha Kó gâteau irībwá ku mùúsi w'îsábukurú gusa, nayó ahàándi mu bakiré, ni dessert ya buri mùúsi.","La pauvreté est ce qui nous fait comprendre que le gâteau se mange seulement les jours d'anniversaire, mais pour les riches, c'est juste un dessert quotidien","Poverty is what makes us understand that cake is only eaten on birthdays, but for rich people, it is just a daily dessert.",jokes,,,,,,,pending
krd_002116_proverbs,,Ubukéne ní indwâra ivūrwá igakíra.,"Comme une maladie, la pauvreté peut être traitée et surmontée.","Like an illness, poverty can be treated and overcome.",proverbs,,,,,,,pending
krd_002117_proverbs,,Ubukêye bucāna ayăndi.,"Nouveau jour, nouveaux problèmes.","New day, new troubles.",proverbs,,,,,,,pending
krd_002118_proverbs,,Ubukúru sí bwo bwênge.,La position d'un leader ne détermine pas sa sagesse.,A leader's position doesn't determine their wisdom.,proverbs,,,,,,,pending
krd_002119_proverbs,clips/proverbs/prov033.mp3,Ubumwe bugira babiri.,Les gens ont besoin les uns des autres.,People need each other.,proverbs,,,,,,,recorded
krd_002120_proverbs,clips/proverbs/prov017.mp3,Ubumwe buramota.,La concorde est bénéfique.,Concord is beneficial.,proverbs,,,,,,,recorded
krd_002121_grammar,,Ubuntu ni bwo bwabakijije,C'est la grâce qui t'a sauvé,It is grace that saved you,grammar,,,,,,,pending
krd_002122_proverbs,,Ubunyegeri buyāgira kw'īgúfa.,Les meilleures discussions ont lieu autour d'une table bien garnie.,The best discussions take place around a well-filled table.,proverbs,,,,,,,pending
krd_002123_proverbs,,Uburiri ntíbuvuná.,Le repos est la pause qui renouvelle l'esprit.,Rest is the pause that renews the spirit.,proverbs,,,,,,,pending
krd_002124_grammar,,Uburundi cari igihugu cifashe kandi cagutse,Le Burundi était un pays développé et plus vaste,Burundi was a developed and larger country,grammar,,,,,,,pending
krd_002125_proverbs,,Uburundi n'igihugu ciza,Le Burundi est un beau pays.,Burundi is a beautiful country.,proverbs,,,,,,,pending
krd_002126_proverbs,,Uburundi ni igihugu ciza,Le Burundi est un beau pays.,Burundi is a beautiful country.,proverbs,,,,,,,pending
krd_002127_grammar,,Uburyo bw’uyu mwaka ni uburo nyabwo,Le mil cette année est excellent,The millet this year is excellent,grammar,,,,,,,pending
krd_002128_proverbs,,Uburîye umugabo ntíbubēshérwa umwâna.,Il est injuste de punir le jeune pour les fautes de l'aîné.,Injustice is to punish the young for the faults of the elder.,proverbs,,,,,,,pending
krd_002129_proverbs,,Uburŭndi bugona búri mâso.,"Un homme prudent peut dormir avec un œil ouvert, toujours sur ses gardes.","A cautious person may sleep with one eye opened, always on guard.",proverbs,,,,,,,pending
krd_002130_proverbs,,Ubusumano buhāza umutwé.,Ce qui est appris aux autres a plus de valeur.,What's learned to others holds greater value.,proverbs,,,,,,,pending
krd_002131_proverbs,,Ubusâza bunyaga ubugabo.,La vieillesse n'est pas un bon voyageur.,Old age is not a good traveler.,proverbs,,,,,,,pending
krd_002132_proverbs,,Ubusígo buhūmá ntíbubá buníni.,Les choses les plus effrayantes viennent dans de petits paquets.,The most frightening things come in small packages.,proverbs,,,,,,,pending
krd_002133_proverbs,,Ubusúma ntáwe bwěreye.,Le succès basé sur la malhonnêteté n'est jamais durable.,Success built on dishonesty is never enduring.,proverbs,,,,,,,pending
krd_002134_proverbs,,Ubusĭmbi busāngíye amajānja ntíbuhishánya amajāmbo.,Les vices partagés conduisent à des secrets partagés.,Shared vices lead to shared secrets.,proverbs,,,,,,,pending
krd_002135_grammar,,"Ubutumwa buzanira uwizera wese agakiza, uhereye ku Muyuda ukageza ku Mugiriki","L'Évangile apporte le salut à tous ceux qui croient, du Juif au Grec","The gospel brings salvation to every one who believes, from Jew to Greek",grammar,,,,,,,pending
krd_002136_jokes,,"Ubutumwá bw'úmukûnzi wāwe , nûbwó bwōba bwûzuyemwó urukûndo gúte, ntibusūmbá ubwā Paypal","Un message de ton amoureux, aussi beau soit-il avec des mots d'amour, n'est jamais plus qu'une notification PayPal.","A message from your lover, no matter how beautifully it's filled with words of love, is never more than a PayPal notification",jokes,,,,,,,pending
krd_002137_proverbs,,Ubutûnzi bwūbaka urugó bwîbīkiye umuhoro.,Les gens construisent souvent de grandes structures tout en détenant le potentiel pour leur destruction.,People often construct grand structures while holding the potential for their destruction.,proverbs,,,,,,,pending
krd_002138_proverbs,,Ubutό buryāna nk'înzúki.,La jeunesse est une période d'énergie sans limites.,Youth is a time of boundless energy.,proverbs,,,,,,,pending
krd_002139_proverbs,,Ubuzima bufise ibitangaza vyinshi,La vie est pleine de surprises.,Life is full of surprises.,proverbs,,,,,,,pending
krd_002140_proverbs,,Ubuzima bwuzuye ibitangaza.,La vie est pleine de surprises.,Life is full of surprises.,proverbs,,,,,,,pending
krd_002141_proverbs,,Ubuzima ni bwiza,La vie est belle,Life is beautiful,proverbs,,,,,,,pending
krd_002142_proverbs,,Ubuzima ni bwiza cane ku gwego rwo hejuru.,La vie est extremement magnifique.,Life is extremely magnificent.,proverbs,,,,,,,pending
krd_002143_grammar,,Ubwa mbere na mbere Jambo yariho,au tout début était la Parole,very beginning was the Word,grammar,,,,,,,pending
krd_002144_proverbs,clips/proverbs/prov041.mp3,Ubwenge burarahurwa,Les connaissances proviennent de différents échanges d'expériences.,Knowledge comes from different experience exchanges.,proverbs,,,,,,,recorded
krd_002145_grammar,,"Ubwiwe aribubereke inzu nini yo hejuru, isezeye, iteguritse","Lui-même vous montrera une grande chambre haute, aménagée et préparée","He himself will show you a large upper room, fixed up and made ready",grammar,,,,,,,pending
krd_002146_proverbs,,Ubwizigirwa buragoye,La confiance est difficile à gagner.,Trust is hard to earn.,proverbs,,,,,,,pending
krd_002147_jokes,,Ubwo kw'īsí hōba hárihó abāntu babēshá gusūmba abatáyēri bó mu Burùúndi ?,Y a-t-il quelqu'un sur terre qui ment plus que les couturiers du Burundi ?,Is there anyone on earth who lies more than the tailors in Burundi?,jokes,,,,,,,pending
krd_002148_proverbs,,Ubwâto bwītângiye bukira umuyaga.,Le premier navire à naviguer est le premier à échapper à la tempête.,The first ship to sail is the first to escape the storm.,proverbs,,,,,,,pending
krd_002149_proverbs,,Ubwênge bukwănse buseruka ushâje.,La vieillesse est la forge où les compétences sont trempées.,Old age is the forge where skills are tempered.,proverbs,,,,,,,pending
krd_002150_proverbs,,Ubwênge bukwănse būza mū nyuma.,La sagesse qui ne vous est pas destinée se révèle généralement en temps voulu.,Wisdom not meant for you usually reveals itself in due time.,proverbs,,,,,,,pending
krd_002151_proverbs,,Ubwênge burarahurwa.,Un homme sage apprend des expériences des autres.,A wise man learns from others' experiences.,proverbs,,,,,,,pending
krd_002152_proverbs,,Ubwênge buva i muhana.,Les racines de la sagesse se trouvent au sein de la famille.,The roots of wisdom lie within the family.,proverbs,,,,,,,pending
krd_002153_proverbs,,Ubwênge bw'índa ní ukuryá ukîhorera.,Une vie contente est mieux gardée près du cœur.,A contented life is best kept close to the heart.,proverbs,,,,,,,pending
krd_002154_proverbs,,Ubwênge bw'ŭmwe ní isáho itobótse.,"Une opinion est comme une seule feuille, mais la sagesse vient d'un arbre entier.","One opinion is like a single leaf, but wisdom comes from a whole tree.",proverbs,,,,,,,pending
krd_002155_proverbs,,Ubwîzá buca mu kanwa.,La véritable beauté réside dans la saveur ressentie.,The real beauty lies in the flavor experienced.,proverbs,,,,,,,pending
krd_002156_proverbs,,Ubwîzá bugukŭnze buja ku mutíma.,La véritable beauté émane des profondeurs du cœur.,Genuine beauty emanates from the depths of the heart.,proverbs,,,,,,,pending
krd_002157_proverbs,,Ubwîzá bukwănse buja ahó batabubóna.,"Comme un joyau caché, la beauté précieuse peut être dissimulée au monde.","Like a hidden gem, precious beauty may be concealed from the world.",proverbs,,,,,,,pending
krd_002158_proverbs,,Ubwîzá bw'înká ní kubá imwé.,La vraie beauté réside dans l'unicité.,rue beauty lies in being one of a kind.,proverbs,,,,,,,pending
krd_002159_proverbs,,Ubwîzá ntíburībwá.,"La beauté s'estompe, mais les vertus du cœur perdurent.","Beauty fades, but the virtues of the heart endure.",proverbs,,,,,,,pending
krd_002160_proverbs,,Ubwīriza uwuryá ngo urānsaba.,"Demandez à une personne ayant un bien précieux de faire quelque chose, et elle pourrait penser que vous essayez d'obtenir une partie de ce qu'elle a.","Ask a person with a prized possession to do something, and they may think you are trying to get a portion of what they have.",proverbs,,,,,,,pending
krd_002161_proverbs,,Ubîka inzigo ntúzigáma irêmbo.,"Si vous gardez la haine dans votre cœur, vous ne pourrez jamais remplir votre devoir.","If you keep hate in your heart, you will never be able to fulfill your duty.",proverbs,,,,,,,pending
