ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Audio_Status
krd_000701_proverbs,,Ikinyóma kimara umŭsi ntíkimará umwâka.,"Un mensonge peut voyager loin, mais la vérité finira par le rattraper.","A lie may travel far, but the truth will catch up to it eventually.",proverbs,,,,,,,pending
krd_000702_proverbs,,Ikinyóma kirasôsa ntígihāzá.,"Les mensonges peuvent avoir un goût doux, mais la vérité est irremplaçable.","Lies may taste sweet, but truth is irreplaceable.",proverbs,,,,,,,pending
krd_000703_proverbs,,Ikirundi gifise ikibanza ikihe uno musi,Quelle place occupe le kirundi aujourd'hui ?,What place does Kirundi occupy today?,proverbs,,,,,,,pending
krd_000704_proverbs,,"Ikirundi kirambeshejeho, jewe n’abanje","Le Kirundi m'aides à subvenir à mes besoins,moi et ma famille .",Kirundi helps me provide for myself and my family.,proverbs,,,,,,,pending
krd_000705_language,,Ikirundi ni ururimi ruri mu ndimi zo muri afrika bantu,Le Kirundi est l'une des langues africaines,Kirundi is one of the African languages,language,,,,,,,pending
krd_000706_proverbs,,Ikirwa c'úmwămi ugiherūka ukícūbaka.,"Le privilège de voir le palais du roi est accordé à ceux qui le construisent, mais c'est la seule et unique fois.","The privilege to witness the king's palace is granted to those who build it, but that is the only and unique time.",proverbs,,,,,,,pending
krd_000707_proverbs,,Ikirémēra umutwé sí co kiremêra umutíma.,À chacun son fardeau.,To each his own burden.,proverbs,,,,,,,pending
krd_000708_proverbs,,Ikirúta ikĭndi ní ijāmbo ry'úmusâza.,La sagesse des anciens est un phare dans l'obscurité de l'ignorance.,The wisdom of the aged is a beacon in the darkness of ignorance.,proverbs,,,,,,,pending
krd_000709_proverbs,,Ikitábuzé ní ibihŭnda mu bitōke.,L'herbe ne manque jamais dans la forêt.,Grass is never lacking in the forest.,proverbs,,,,,,,pending
krd_000710_proverbs,,Ikitâzí cāmbarira urunega mu bakínegura.,Tenter d'impressionner l'indifférent est un effort futile.,Attempting to impress the disinterested is a futile endeavor.,proverbs,,,,,,,pending
