ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Audio_Status
krd_000401_proverbs,,Bukêbuké bukomeza igihonyi.,"Pas à pas, on progresse.","Step by step, progress is made.",proverbs,,,,,,,pending
krd_000402_proverbs,,Bukêbuké bushikana umusíba ku mugezi.,Rome ne s'est pas construite en un jour.,Rome wasn't built in a day.,proverbs,,,,,,,pending
krd_000403_proverbs,,Bukêbuké ni rwó rugēndo.,"Pas à pas, le voyage se termine.","Step by step, the journey is completed.",proverbs,,,,,,,pending
krd_000404_emotions,,Buraruhura cane.,C'est très relaxant.,It's very relaxing.,emotions,,,,,,,pending
krd_000405_proverbs,,Buri kantu gato gafise akamaro.,Chaque petit geste compte.,Every little gesture counts.,proverbs,,,,,,,pending
krd_000406_proverbs,clips/proverbs/prov012.mp3,Burira ntibutera ku mpeshi.,La nuit ne dure qu'à la belle saison.,The night does not last until the good season.,proverbs,,,,,,,recorded
krd_000407_geography,,Bururi ni intara yo mu bumanuko bw'igihugu c'Uburundi,Bururi est une province du sud du pays du Burundi,Bururi is a province in the south of the country of Burundi,geography,,,,,,,pending
krd_000408_proverbs,,Burya ikirundi si ururimi gusa,Le Kirundi n'est pas seulement qu'une langue,Kirundi is not just a language,proverbs,,,,,,,pending
krd_000409_grammar,,"Buzoca, mugire muti: Iyo bwira!",Le matin tu diras : Si seulement il faisait nuit !,In the morning you will say: If only it were night!,grammar,,,,,,,pending
krd_000410_grammar,,Bwakeye ga Bwana!,Bonjour Monsieur!,"Good morning, Sir!",grammar,,,,,,,pending
krd_000411_proverbs,,Bwākêye ntíbuzá uwukwânka.,Saluer un ennemi ne fait pas fondre son cœur.,Offering greetings to a foe doesn't melt their heart.,proverbs,,,,,,,pending
krd_000412_jokes,,"Bágīye kugura ikīntu, umudàándaza arashóbora kubábwīra ibihumbi mirongo itanu, nabó bakamuha ibihūmbi bitatu, kàándi báshimitse.","Quand elles vont acheter quelque chose et que le vendeur annonce le prix à cinquante mille, elles n'hésitent pas à négocier jusqu'à cinq mille. Et elles peuvent être tout à fait sérieuses à ce sujet.","When they go to buy something and the seller quotes the price as fifty thousand, they confidently negotiate it down to five thousand. And they can be dead serious about it.",jokes,,,,,,,pending
krd_000413_jokes,,"Bèénshi bákiri abâna, hari ijāmbo ryàábakūramwó umutíma
Māwé: Impa yâ maherá wagárukana ejó kw'ībútìíke.","Il y a une phrase de l'enfance qui donne encore des frissons.""
Maman : ""Remets l'argent qui reste de la mission d'épicerie d'hier.""","There's a sentence from childhood that still sends shivers down the spine.
Mom: ""Hand over the leftover cash from yesterday's grocery mission.""",jokes,,,,,,,pending
krd_000414_proverbs,,Bā Bwênge bări babiri umwé arapfá.,"Deux esprits astucieux ont commencé le voyage, mais un seul est parti.","Two clever minds started the journey, but only one left.",proverbs,,,,,,,pending
krd_000415_jokes,,"Bā mâwé bâcu bônyené nibó bashobóra kukurūngikira ubutumwá bw'ámajwí  kugíra bakubwìíre ""Sawá""",Seules nos mamans peuvent envoyer un message audio juste pour dire 'Ok.',Only our moms can send an audio message just to say 'Ok.',jokes,,,,,,,pending
krd_000416_proverbs,,Běne Imâna baruta běne imâri.,La richesse de la foi est plus grande que les possessions matérielles.,The wealth of faith is greater than material possessions.,proverbs,,,,,,,pending
krd_000417_proverbs,,Běne vyó ni bó běne inămbu.,L'abondance engendre les désirs les plus vifs.,Abundance breeds the keenest cravings.,proverbs,,,,,,,pending
krd_000418_action-verbs,,Ca ngaha !,Par ici !,This way!,action-verbs,,,,,,,pending
krd_000419_geography,,Cankuzo ni igisagara kimwe mubisagara bigize Uburundi,Cankuzo est l'une des villes du Burundi.,Cankuzo is one of the cities of Burundi.,geography,,,,,,,pending
krd_000420_proverbs,,"Data na mama bagiye gukora, Bayaga aherekeje keza","Papa et Maman vont travailler, Bayaga accompagne Keza","Mom and Dad go to work, Bayaga accompanies Keza",proverbs,,,,,,,pending
krd_000421_action-verbs,,Data ni umurimyi.,Mon père est agriculteur.,My father is a farmer.,action-verbs,,,,,,,pending
krd_000422_action-verbs,,Data wanje ni umurimyi.,Mon père est agriculteur.,My father is a farmer.,action-verbs,,,,,,,pending
krd_000423_action-verbs,,Dawe wanje ni Umurimyi.,Mon père est agriculteur.,My father is a farmer.,action-verbs,,,,,,,pending
krd_000424_grammar,,Duhuriye hehe ga Yesu Munyanazareti?,"Qu’avons-nous en commun, toi Jésus de Nazareth ?","What have we in common, you Jesus of Nazareth?",grammar,,,,,,,pending
krd_000425_action-verbs,,Dukwiye gutangura ubu nyene.,Nous devons agir maintenant.,We must act now.,action-verbs,,,,,,,pending
krd_000426_action-verbs,,Dusabwa gufata ingingo.,Nous devons prendre une décision.,We have to make a decision.,action-verbs,,,,,,,pending
krd_000427_general,,Dusubiye kwemeza ko twemera gushira imbere amahoro.,Nous réaffirmons notre engagement en faveur de la paix.,We reaffirm our commitment to peace.,general,,,,,,,pending
krd_000428_action-verbs,,Dutambuka buhorobuhoro.,Nous marchons lentement.,We walk slowly.,action-verbs,,,,,,,pending
krd_000429_action-verbs,,Dutambuka bukebuke.,Nous marchons lentement.,We walk slowly.,action-verbs,,,,,,,pending
krd_000430_action-verbs,,Dutangure Inama.,Commençons la réunion.,Let's start the meeting.,action-verbs,,,,,,,pending
krd_000431_proverbs,,Dutegerezwa gukingira ibidukikije,Nous devons protéger l'environnement.,We must protect the environment.,proverbs,,,,,,,pending
krd_000432_action-verbs,,Dutegerezwa gutezimbere igisata cacu,Nous devons améliorer notre service.,We need to improve our service.,action-verbs,,,,,,,pending
krd_000433_action-verbs,,Dutegerezwa kubishitsa ubunyene.,Nous devons agir maintenant.,We must act now.,action-verbs,,,,,,,pending
krd_000434_action-verbs,,Dutegerezwa kugenda kare,Nous devons partir tôt.,We have to leave early.,action-verbs,,,,,,,pending
krd_000435_grammar,,Ejo nzozanana ni abakozi babatu,Demain je me retrouverai avec trois ouvriers,Tomorrow I’ll come together with three workmen,grammar,,,,,,,pending
krd_000436_grammar,,Ejo uzorima? Sinkarime!,Tu vas biner demain ? Je ne le ferai certainement pas !,Will you hoe tomorrow? I certainly will not!,grammar,,,,,,,pending
krd_000437_jokes,,Ejó mu gatôndo tuzōzīnduka twôngereza amaherá y'ínzu.,"Demain matin, nous prévoyons une augmentation de loyer.","Tomorrow morning, we're planning a rent increase.",jokes,,,,,,,pending
krd_000438_jokes,,"Ejó muzôzīndúke múja kurōndera ahàándi mujá kubá, umukûnzi wānje yambwīye kó isí yöse arí iy'íwàácu túri babiri gusa.","Demain, vous devez trouver un autre endroit où vivre. Mon petit ami vient de m'informer que la terre est enfin pour nous.","Tomorrow, you guys need to find another planet to live on. My boyfriend just promised me that the earth is finally ours.",jokes,,,,,,,pending
krd_000439_jokes,,"Ejó nabwîye māwé kó ndíko nūmva inzara, aca ambwīra ngo nzibíre amatwí nca ndéka kuyûmva.","J'ai raconté à mon chat que je pouvais entendre son ronronnement trop fort. Il m'a regardé avec dédain, comme pour dire : 'Gère tes oreilles, humain.","I told my cat that I could hear her purring too loudly. He looked at me with disdain, as if to say, 'Manage your ears, human.",jokes,,,,,,,pending
krd_000440_jokes,,Ejó twàári mu mùúsi mukurú n'úmugēnzi wānje twâborewe.,"Hier, mon ami et moi avons bien bu à une fête. 
","Yesterday, my friend and I got quite drunk at a party. ",jokes,,,,,,,pending
krd_000441_grammar,,Eka na mba!,pas du tout!,not a bit!,grammar,,,,,,,pending
krd_000442_grammar,,Erega iyo tuba twapfumye tuguma hakurya!,Si seulement nous avions accepté de rester de l’autre côté !,If only we had been willing to stay on the other side!,grammar,,,,,,,pending
krd_000443_proverbs,,"Ese Gisanumwavu ngo aratwenze! Amenyo umengo ni yo atonoza ibitoke. Aguhumekeyeko, wota ukiruka.",Eeh quand Gisanumwavu souris! On dirait que ses dents épluchent les bananes. Et tu pourrais t'enfuir quand tu sens son haleine,Eeh when Gisanumwavu smiles! His teeth look like they're peeling bananas. And you might run away when you smell his breath,proverbs,,,,,,,pending
krd_000444_proverbs,,Ewe Bayaga urabazagiza,"Ô Bayaga, tu aimé posé des questions","O Bayaga, you liked to ask questions",proverbs,,,,,,,pending
krd_000445_action-verbs,,"Ewe, Ntega ugutwi.","Mec, écoute-moi.","Dude, listen to me.",action-verbs,,,,,,,pending
krd_000446_action-verbs,,Fata iyi ngendeshwa rusangi.,Prenez ce bus.,Take this bus.,action-verbs,,,,,,,pending
krd_000447_action-verbs,,Fata iyo ngendeshwa.,Prenez ce bus.,Take this bus.,action-verbs,,,,,,,pending
krd_000448_advice,,Fata umwanya ugomba.,Prends ton temps.,Take your time.,advice,,,,,,,pending
krd_000449_advice,,Fata umwanya wawe.,Prends ton temps.,Take your time.,advice,,,,,,,pending
