ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Audio_Status
krd_002501_proverbs,,Usaba Imâna y'úwŭndi ikaguha amahere.,Ne demandez pas à Dieu ce qui dépasse votre destin.,Do not ask God for what is beyond your destiny.,proverbs,,,,,,,pending
krd_002502_proverbs,,Usaba inēra ukaba inēra.,Celui qui cherche de l'aide auprès d'une mauvaise personne hérite de ses manières.,He who seeks help from a bad person inherits their ways.,proverbs,,,,,,,pending
krd_002503_proverbs,,Usaba umwîzá mugasa.,Celui qui s'associe aux bons devient lui-même bon.,He who associates with the good becomes good himself.,proverbs,,,,,,,pending
krd_002504_proverbs,,Useka umubânyi ukavyūka músa.,Ce que tu moques aujourd'hui pourrait être ton propre reflet demain.,What you mock today may be your own reflection tomorrow.,proverbs,,,,,,,pending
krd_002505_jokes,,"Ushâka kumenya urugero rwāwe rwó kwìíhāngāna, uratwāra Umwâna wāwe w'îmyâka itatu mu bugeni.","Si tu veux évaluer ton niveau de gentillesse, amène ton enfant de 3 ans à un mariage. ","If you want to gauge your kindness, bring your 3-year-old to a wedding. ",jokes,,,,,,,pending
krd_002506_jokes,,"Ushīma kó ibīntu vyàázīmvye,..Kèéra twâgīye kuramutsa bā mâmá bàácu, bàárakubwîra nk'încúro icúmi ngo ""Ingo ufūngúre "" ukaguma wîyankīsha ugatīnda ukêmera,...","Pour comprendre à quel point les prix ont grimpé, imaginez ceci : Autrefois, quand nous rendions visite à nos tantes, elles nous répétaient mille fois de venir manger.","To grasp the extent of how prices have soared, consider this: Back in the day, when we visited our aunties, they'd insist a thousand times for us to come and eat. ",jokes,,,,,,,pending
krd_002507_proverbs,,Uta agatōngo ataco kakugíze kagatuma ku kăndi ngo urāmpōra.,Un traitement injuste peut pousser quelqu'un à chercher des alliés pour se venger.,Unjust treatment can lead someone to seek allies for vengeance.,proverbs,,,,,,,pending
krd_002508_proverbs,,Uta akarānga ukaba utâye ibānga.,"Perdre sa culture, c'est perdre son identité.",Losing culture means losing identity.,proverbs,,,,,,,pending
krd_002509_grammar,,Utabikora uzohanwa,"Si vous ne le faites pas, vous serez puni",If you do not do it you will be punished,grammar,,,,,,,pending
krd_002510_grammar,,"Utanditse neza, sinosoma ibikaratasi vyawe","Si tu n'as pas bien écrit, je ne lirai pas tes papiers","If you haven’t written well, I won’t read your papers",grammar,,,,,,,pending
krd_002511_grammar,,"Utange ivyo uguhumanurwa kwawe, nk’uko Mose yageze","Offrez les choses pour votre purification, comme Moïse l'a ordonné","Offer the things for your cleansing, as Mose commanded",grammar,,,,,,,pending
krd_002512_proverbs,,"Utazi Ikirundi, burya uba waratakaje imizi.","Si vous ne connaissez pas le Kirundi, vous avez perdu vos racines.","If you don't know Kirundi, you have lost your roots.",proverbs,,,,,,,pending
krd_002513_proverbs,,Uturorero:   Ivy'aha vyama mu nzira,Exemples : Ici Il ya toujours le désordre,Examples: Here there is always disorder,proverbs,,,,,,,pending
krd_002514_proverbs,,Uturuka buká ugatāha bunyama.,Un mauvais début mène à une mauvaise fin.,A bad beginning leads to a bad ending.,proverbs,,,,,,,pending
krd_002515_proverbs,,Utw'ûmwôro twōmwēgēra.,"Ce qui vous appartient, gardez-le près de vous.","What belongs to you, keep it close to you.",proverbs,,,,,,,pending
krd_002516_proverbs,,Utwâwé ní utwó urāyé urîye.,Vos vrais biens sont ceux que vous pouvez saisir.,Your true belongings are those within your grasp.,proverbs,,,,,,,pending
krd_002517_proverbs,,Utāmbira umwămi atagushăka akakwīta umusazi.,Danser pour une pierre ne fera que vous rendre ridicule.,Dancing for a stone will only make you look foolish.,proverbs,,,,,,,pending
krd_002518_proverbs,,Utēka ubúsa ukamira ubŭndi.,"Si vous ne semez pas, vous ne récolterez pas.","If you don't sow, you won't reap.",proverbs,,,,,,,pending
krd_002519_proverbs,,Uvyiyumvirako iki?,Qu'est-ce que tu en penses?,What do you think?,proverbs,,,,,,,pending
krd_002520_proverbs,,Uwabâye mwīzá aba muzima.,Un vrai homme est mesuré par la bonté dans son cœur.,A true man is measured by the goodness in his heart.,proverbs,,,,,,,pending
krd_002521_proverbs,,Uwabírimye sí we yabírīye.,"Il a attrapé le poisson, mais d'autres ont profité du repas.","He caught the fish, but others enjoyed the meal.",proverbs,,,,,,,pending
krd_002522_proverbs,,Uwagôwe aherekeza uwagôtse.,Ceux qui sont dans la misère sont ceux qui soutiendraient un traître.,Those in misery are the ones who would stand by a traitor's side.,proverbs,,,,,,,pending
krd_002523_grammar,,Uwapfuye aba atsindanishirijwe icaha,Celui qui est mort serait justifié du péché,He that has died would be justified of sin,grammar,,,,,,,pending
krd_002524_proverbs,,Uwapfûye yarîhūse.,"Partis trop tôt, ils ont raté les marées changeantes.","Gone too soon, they missed the changing tides.",proverbs,,,,,,,pending
krd_002525_proverbs,,Uwatînye gupfá ntíyavûtse.,Celui qui a peur de tomber n'apprendra jamais à voler.,He who is afraid to fall will never learn to fly.,proverbs,,,,,,,pending
krd_002526_jokes,clips/jokes/h23.mp3,Uwo inzara abonye mugenziwe atwawe n'impfyisi ati abari n'ababo barabaseha!,"""Seuls ceux qui ont de la famille sont approvisionnés"", comme disait l'homme lors d'une famine en voyant son voisin emmené par la hyène !","""Only those who have family are supplied,"" as the man said during a famine seeing his neighbor taken away by the hyena!",jokes,,,,,,,recorded
krd_002527_proverbs,,Uwu munsi ni mwiza.,Cette journée est belle.,This day is beautiful.,proverbs,,,,,,,pending
krd_002528_proverbs,,Uwubwîra uwŭmva ntávuníka.,"À une oreille attentive, peu de mots suffisent.","To a willing ear, few words are needed.",proverbs,,,,,,,pending
krd_002529_proverbs,,Uwubândwa ní we abāndá urūgi.,Seuls les intrépides relèvent les défis difficiles.,Only the fearless take on difficult tasks.,proverbs,,,,,,,pending
krd_002530_proverbs,,Uwubûndabūnda abonwa n'úwuhágaze.,Celui qui agit en secret peut être vu par des yeux invisibles.,The one who acts in secret may be witnessed by unseen eyes.,proverbs,,,,,,,pending
krd_002531_proverbs,,Uwubûranye ikinyóma aragítsīndanwa.,Le défenseur des mensonges tombe dans son propre piège.,The defender of lies falls into his own trap.,proverbs,,,,,,,pending
krd_002532_proverbs,,Uwudásavyé ntákirá.,"Si vous ne demandez pas, vous n'obtenez pas.","If you don't ask, you don't get.",proverbs,,,,,,,pending
krd_002533_proverbs,,Uwudáshōnjé ntáshērá.,Seul un estomac vide connaît la douleur de la mendicité.,Only an empty stomach knows the pain of begging.,proverbs,,,,,,,pending
krd_002534_proverbs,,Uwudásizé umwâna asiga umugáni.,"Même sans laisser de descendance, une personne devrait s'efforcer de créer un héritage durable par des actions significatives.","Even without leaving behind any offspring, a person should strive to create a lasting legacy through meaningful actions, .",proverbs,,,,,,,pending
krd_002535_proverbs,,Uwudátēyé ntásorόma.,"Si vous n'avez pas semé, vous ne pouvez pas vous attendre à récolter.","If you haven't sown, you can't expect to harvest.",proverbs,,,,,,,pending
krd_002536_proverbs,,Uwufíse amâso ahēndwa biké.,Celui qui a des yeux ne sera pas facilement trompé.,He who has eyes will not be easily fooled.,proverbs,,,,,,,pending
krd_002537_proverbs,,Uwufíse ikimuri ntáhakúrira hāsí.,"Dans le noir, la lumière empêche votre assiette de tomber.","In the dark, light keeps your plate from falling.",proverbs,,,,,,,pending
krd_002538_proverbs,,Uwufíse imbwá ntâtá igúfa.,Avoir un chien signifie ne pas gaspiller les os à la poubelle.,Having a dog means not wasting bones in the garbage.,proverbs,,,,,,,pending
krd_002539_proverbs,clips/proverbs/prov044.mp3,Uwugusize intambwe aba agusize,Le premier oiseau attrape le ver,The first bird catches the worm,proverbs,,,,,,,recorded
krd_002540_proverbs,,Uwugômba isīmbo asīmba urugó.,"Quand tu désires vraiment quelque chose, tu dois t'efforcer sans relâche.","When you truly desire something, you must exert yourself relentlessly.",proverbs,,,,,,,pending
krd_002541_proverbs,,Uwugômba kugabana arazīnduka.,Celui qui souhaite être accordé par le roi doit venir tôt.,He who wishes to be granted by the king must come early.,proverbs,,,,,,,pending
krd_002542_proverbs,,Uwugôwe agōra Imâna.,L'âme misérable se tourne vers les cieux pour obtenir du soulagement.,The wretched soul turns to the heavens for relief.,proverbs,,,,,,,pending
krd_002543_proverbs,,Uwugôwe aragōka.,"Au milieu des troubles, les vulnérables peuvent abandonner leurs principes pour un gain personnel.","Amidst troubles, the vulnerable may forsake principles for personal gain.",proverbs,,,,,,,pending
krd_002544_proverbs,,Uwugôwe umuryāngo uramwākīra.,"Quand on est dans le besoin, les mains de la famille se tendent pour aider.","When one is in need, the family's hands extend to help.",proverbs,,,,,,,pending
krd_002545_proverbs,,Uwugúhanūra kurēndegera aba agúteze umushíbuká.,"Méfiez-vous de ceux qui prêchent l'insouciance, car ils peuvent chercher votre chute.","Be wary of the ones who preach carelessness, as they may be seeking your downfall.",proverbs,,,,,,,pending
krd_002546_proverbs,,Uwugúsavye umwūhīro aba agútaze umusêsekará.,Demander plus de vous est un souhait subtil pour votre abondance.,"Requesting more from you, is a subtle wish for your abundance.",proverbs,,,,,,,pending
krd_002547_proverbs,,Uwugútānze gukáraba agutānga kubega.,L'oiseau matinal attrape le ver.,The early bird catches the worm.,proverbs,,,,,,,pending
krd_002548_proverbs,,Uwuhána inzara arayirimira.,"Pour lutter contre la faim, il faut travailler plus dur.","To fight against hunger, you need to work harder.",proverbs,,,,,,,pending
krd_002549_proverbs,,Uwuhána umurozi amubītsa umwâna.,"Si vous voulez tester la vraie nature d'une personne, confiez-lui quelque chose de précieux.","If you want to test a person's true nature, entrust them with something valuable.",proverbs,,,,,,,pending
krd_002550_proverbs,,Uwuhânzwe n'îsînzí ntásīnzîra.,"Quand on est entouré d'ennemis, on dort d'un œil ouvert.","When surrounded by enemies, sleep with one eye open.",proverbs,,,,,,,pending
krd_002551_proverbs,,Uwuhâwe n'Îmâna ntíyāmbúrwa n'úmuyaga.,La serrure de ta fortune ne s'ouvre qu'avec ta propre clé.,The lock to your fortune only opens to your key.,proverbs,,,,,,,pending
krd_002552_proverbs,,Uwuhâwe n'úmwămi acānira Uburŭndi búbona.,"Celui qui est accordé par le roi prend son repas en paix, sans interférence.","He who is granted by the king enjoys his meal in peace, without interference.",proverbs,,,,,,,pending
krd_002553_proverbs,,Uwuhâwe n'úmwămi atēkera Uburŭndi búbona.,"Celui qui est accordé par le roi prend son repas en paix, sans interférence.","He who is granted by the king enjoys his meal in peace, without interference.",proverbs,,,,,,,pending
krd_002554_proverbs,,Uwuhênzwe n'ágahêngwé acāna inkīnzo.,Celui qui est bercé par la paix peut oublier le besoin d'une épée.,He who is lulled by peace may forget the need for a sword.,proverbs,,,,,,,pending
krd_002555_proverbs,,Uwuhôngera umwânsi amara inká.,"Quand vous cherchez le pardon d'un ennemi avec des cadeaux, cela devient un schéma récurrent.","When you seek forgiveness from an enemy with gifts, it becomes a recurring pattern.",proverbs,,,,,,,pending
krd_002556_proverbs,,Uwujá gukíra indwâra arayirāta.,"Quand vous partagez votre maladie, vous invitez la guérison.","When you share your sickness, you invite healing.",proverbs,,,,,,,pending
krd_002557_proverbs,,Uwujá gukíra urwîmo arwīma ururími.,"En temps de trouble, le silence offre une protection.","In times of trouble, silence offers protection.",proverbs,,,,,,,pending
krd_002558_proverbs,,Uwujá gusíga imvúra arayirorēra.,"Dans la course contre la pluie, attendre assure une fin sèche.","In the race against the rain, waiting ensures a dry finish.",proverbs,,,,,,,pending
krd_002559_proverbs,,Uwujá gutûnga arima abagēnzi.,"Méfiez-vous de disperser votre richesse à tous, car vous pourriez finir sans rien.","Beware of scattering your wealth to all, for you may end up with none.",proverbs,,,,,,,pending
krd_002560_proverbs,,Uwujá kubá mu Burŭndi agira amâso ntágirá amatwí.,"Pour se marier, il faut avoir des yeux et non des oreilles.","To get married, one must have eyes and not ears.",proverbs,,,,,,,pending
krd_002561_proverbs,,Uwujá kugaya ijāmbo arāba umunwa urivúze.,Celui qui ignore la parole c'est à cause de l'orateur.,He who ignores the word is because of the speaker.,proverbs,,,,,,,pending
krd_002562_proverbs,,Uwujá mu rugό rw'úwŭndi asiga ingeso kw'īrêmbo.,"En entrant dans la maison de quelqu'un d'autre, laissez vos manières à la porte.","When entering someone else's house, leave your manners at the door.",proverbs,,,,,,,pending
krd_002563_action-verbs,,Uwukora Imikate n'Umubanyi.,Le boulanger est mon voisin.,The baker is my neighbor.,action-verbs,,,,,,,pending
krd_002564_proverbs,,Uwukêngurutse aba yôngeje.,Un cœur reconnaissant cherche davantage de bénédictions.,A grateful heart seeks more blessings.,proverbs,,,,,,,pending
krd_002565_proverbs,,Uwukíze inkúba arayígānīra.,Ceux qui échappent de justesse au danger racontent l'histoire à quiconque veut l'écouter.,Those who narrowly escape danger tell the story to anyone who will listen.,proverbs,,,,,,,pending
krd_002566_proverbs,,Uwukíze isěmu yībagira icămwīrukana.,"Dans les bons moments, les cicatrices des épreuves sont facilement négligées.","In good times, the scars of hardship are easily overlooked.",proverbs,,,,,,,pending
krd_002567_proverbs,,Uwukíze ubusóre arabuganira.,"Quand un homme quitte le chemin solitaire, que les cloches joyeuses sonnent et que le cœur des amis brille.","When a man leaves the single road, let joyous bells ring and friends' hearts be glowed.",proverbs,,,,,,,pending
krd_002568_proverbs,,Uwukóma amashí ntákubítwa kū ntoke.,"Ne détournez pas la main tendue, car elle porte un appel à l'aide.","Do not turn away from the outstretched hand, for it carries a plea for help.",proverbs,,,,,,,pending
krd_002569_proverbs,,Uwukúbita igishěgu arakijāniranya.,"Si tu commences une guerre, prépare-toi à te battre jusqu'à la fin.","If you start a war, prepare to fight until the end.",proverbs,,,,,,,pending
krd_002570_proverbs,,Uwukúbita inkēnde ntárābíra iyiháka.,"Un cœur malveillant ne fait pas de distinction, nuisant à tous sur son passage.","A heart of malice knows no distinction, harming all in its path.",proverbs,,,,,,,pending
krd_002571_proverbs,,Uwukúrusha umugóre akurusha urugó.,"Une maison avec une bonne femme est comme un jardin fleuri de roses, tandis qu'une maison sans elle est comme un désert stérile.","A home with a good woman is like a garden flourishing with roses, while a home without one is like a barren desert.",proverbs,,,,,,,pending
krd_002572_proverbs,,Uwukúrāvye cāne agutēra kwāmbara.,"Lorsque les gens vous corrigent constamment, c'est un signal pour vous réévaluer.","When people are constantly fixing you, it's a signal to reevaluate yourself.",proverbs,,,,,,,pending
krd_002573_proverbs,,Uwumáze umwâka aba arâmvye.,Passer une année est un pas vers la longévité.,Spending a year is a step towards longevity.,proverbs,,,,,,,pending
krd_002574_proverbs,,Uwupfûye aba arúhūtse.,La mort apporte à l'âme fatiguée un repos éternel.,Death brings the weary soul to eternal repose.,proverbs,,,,,,,pending
krd_002575_proverbs,,Uwurâmvye arabόna.,"Plus vous vivez longtemps, plus vous êtes témoin et comprenez.","The longer you live, the more you witness and understand.",proverbs,,,,,,,pending
krd_002576_proverbs,,Uwurérewe n'Îmâna agira ngo arusha abăndi guhana.,Les gens sont simplement bénis par Dieu et pensent qu'ils sont spéciaux.,People are just blessed by God and think they are special.,proverbs,,,,,,,pending
krd_002577_proverbs,,Uwurí mū ntăhe arêzwa ntíyīyéza.,"Un homme juste est justifié par les faits, non par sa propre défense.","A just man is vindicated by the facts, not his own defense.",proverbs,,,,,,,pending
krd_002578_proverbs,,Uwurívuze mu gushēngera ntâbá agîye.,Celui qui exprime son dernier souhait avant de partir reste gravé dans le cœur de ceux qu'il laisse derrière lui.,One who expresses their last wish before passing away remains etched in the hearts of those they leave behind.,proverbs,,,,,,,pending
krd_002579_proverbs,,Uwurûmbije umugόre ntásārûra umwâna.,"Pour planter la graine de la vie, il faut nourrir la flamme du désir.","To plant the seed of life, one must nurture the flame of desire.",proverbs,,,,,,,pending
krd_002580_proverbs,,Uwushâka akêzá aragáhebera.,Les meilleures choses dans la vie valent la peine de se battre.,The best things in life are worth fighting for.,proverbs,,,,,,,pending
krd_002581_proverbs,,Uwushâka inká aryāma nka zό.,"Agissez comme un local, soyez traité comme un local.","Act like a local, be treated like a loca.",proverbs,,,,,,,pending
krd_002582_proverbs,,Uwushâka kukúrya ntáburá imbóga agukóza.,Un esprit malveillant n'a pas besoin de raison pour frapper.,A malicious mind needs no reason to strike.,proverbs,,,,,,,pending
krd_002583_proverbs,,Uwushâka umubíra abira akŭya.,"Si vous voulez vraiment quelque chose, soyez prêt à transpirer pour l'obtenir.","If you want something badly enough, be prepared to sweat for it.",proverbs,,,,,,,pending
krd_002584_proverbs,,Uwushâka umucé acīka ijoro.,La route du succès est pavée de nuits blanches.,The road to success is paved with sleepless nights.,proverbs,,,,,,,pending
krd_002585_proverbs,,Uwushâka urwâmo yēnga urwârwá.,"Pour créer une atmosphère animée, organisez une soirée arrosée.","To create a lively atmosphere, host a drinking gathering.",proverbs,,,,,,,pending
krd_002586_proverbs,,Uwusába Imâna ntásarágara.,Celui qui cherche auprès de Dieu ne se lasse jamais.,The one who seeks from God never grows weary.,proverbs,,,,,,,pending
krd_002587_proverbs,,Uwusába agasákanyíka aranūkirwa akîhorera.,Celui qui cherche des faveurs auprès de quelqu'un qu'il n'aime pas persévère jusqu'à obtenir ce qu'il veut.,"He who seeks favors from someone he dislikes, perseveres until he gets what he wants.",proverbs,,,,,,,pending
krd_002588_proverbs,clips/proverbs/prov028.mp3,Uwutazi umuti awunyako.,L'ignorance tue.,Ignorance kills.,proverbs,,,,,,,recorded
krd_002589_proverbs,,Uwutsînzwe ntíbatsīndáho.,Ceux qui ont perdu méritent un cœur tendre et une main aidante.,Those who have lost deserve a tender heart and a helping hand.,proverbs,,,,,,,pending
