ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Audio_Status
krd_001001_proverbs,,Ivyatsi biba bikakaye vyumye.,Les herbes deviennent raides une fois sèches.,Herbs become stiff when dry.,proverbs,,,,,,,pending
krd_001002_idioms,,Ivyigwa vy’ubumenyi abandi babikoresha mu ndimi zabo,Des leçons de connaissances que d’autres utilisent dans leur propre langue,Knowledge lessons that others use in their own language,idioms,,,,,,,pending
krd_001003_action-verbs,,Ivyirwa bikuru bikuru bakurikira ni ibi,Les principaux arrière-plans du prochain sont ,The main backgrounds of the next one are,action-verbs,,,,,,,pending
krd_001004_grammar,,Ivyiwe bitabo,ses propres livres,his own books,grammar,,,,,,,pending
krd_001005_idioms,,Ivyo babivuga gute mu gifaransa?,Comment dit-on cela en français?,How do you say this in French?,idioms,,,,,,,pending
krd_001006_grammar,,Ivyo bitabo ni ivyanje,Ces livres sont à moi,Those books are mine,grammar,,,,,,,pending
krd_001007_action-verbs,,Ivyo kurya mw ijoro vyatunganye.,Le dîner est prêt.,Dinner is ready.,action-verbs,,,,,,,pending
krd_001008_action-verbs,,Ivyo mwijoro birateguye.,Le dîner est prêt.,Dinner is ready.,action-verbs,,,,,,,pending
krd_001009_proverbs,,Ivyâra ntírigōrá nk'írera.,"Donner naissance est facile, élever l'enfant est le vrai test.","Giving birth is easy, raising the child is the real test.",proverbs,,,,,,,pending
krd_001010_proverbs,,Ivyā gusa bitēra ubwênge buké.,Ce qui est gratuit rend fou si l'on veut en profiter à plusieurs reprises.,What is free makes one foolish if they want to take advantage of it repeatedly.,proverbs,,,,,,,pending
krd_001011_proverbs,,Ivyănse mu mashí bija mu migére.,"Si le plan échoue, changez de direction et trouvez une nouvelle approche.","If the plan fails, pivot and find a new approach.",proverbs,,,,,,,pending
krd_001012_location,,Iwanyu ni he?,C'est où chez toi?,Where is your home?,location,,,,,,,pending
krd_001013_grammar,,"Iyaba Yosuwa yarabaruhuye, ntiba yaravuze ubwa nyuma ivy’uwundi musi","Si Josué leur avait donné du repos, il n'aurait pas parlé ensuite d'un autre jour","If Joshua had given them rest, he would not have spoken afterward of another day",grammar,,,,,,,pending
krd_001014_grammar,,Iyaba nanyoye umuti mba nkize,"Si j'avais bu le médicament, je me serais rétabli","If I had drunk the medicine, I would have gotten well",grammar,,,,,,,pending
krd_001015_grammar,,Iyaba waraje aho naguhamagariye tuba twarahejeje ubu,"Si tu étais venu quand je t'ai appelé, nous aurions déjà fini","If you had come when I called you, we would have finished by now",grammar,,,,,,,pending
krd_001016_action-verbs,,Iyahe genekerezo ?,Quelle est la date?,What is the date?,action-verbs,,,,,,,pending
krd_001017_proverbs,,Iyakáremye ní yo ikaména.,Celui qui crée peut aussi détruire.,He who creates can also destroy.,proverbs,,,,,,,pending
krd_001018_proverbs,,Iyakúrīye ntúyigéra inkoni.,On ne peut pas combattre le mal par le mal.,You cannot fight evil with evil.,proverbs,,,,,,,pending
krd_001019_proverbs,,Iyarâye ubúsa ntívugá.,Un estomac vide laisse la bouche silencieuse le matin.,An empty stomach leaves the mouth silent in the morning.,proverbs,,,,,,,pending
krd_001020_grammar,,Iyi mpuzu ni ntoya cane,Cette robe est trop petite,This dress is too small,grammar,,,,,,,pending
krd_001021_vocabulary,,Iyi ni ifi.,Ceci est un poisson.,This is a fish.,vocabulary,,,,,,,pending
krd_001022_vocabulary,,Iyi ni ikawa.,Ceci est un café.,This is a coffee.,vocabulary,,,,,,,pending
krd_001023_vocabulary,,Iyi ni ikoti.,Ceci est un manteau.,This is a coat.,vocabulary,,,,,,,pending
krd_001024_vocabulary,,Iyi ni imbwa.,Ceci est un chien.,This is a dog.,vocabulary,,,,,,,pending
krd_001025_vocabulary,,Iyi ni imfuku.,Ceci est un taupe.,This is a mole.,vocabulary,,,,,,,pending
krd_001026_vocabulary,,Iyi ni imparage.,Ceci est un zèbre.,This is a zebra.,vocabulary,,,,,,,pending
krd_001027_vocabulary,,Iyi ni inanasi.,Ceci est un ananas.,This is a pineapple.,vocabulary,,,,,,,pending
krd_001028_vocabulary,,Iyi ni inka.,Ceci est un vache.,This is a cow.,vocabulary,,,,,,,pending
krd_001029_vocabulary,,Iyi ni inoti.,Ceci est un billet.,This is a banknote.,vocabulary,,,,,,,pending
krd_001030_vocabulary,,Iyi ni intumbaswa.,Ceci est un physalis.,This is a physalis.,vocabulary,,,,,,,pending
krd_001031_vocabulary,,Iyi ni inzige.,Ceci est un criquet.,This is a cricket.,vocabulary,,,,,,,pending
krd_001032_vocabulary,,Iyi ni isahani.,Ceci est un assiette.,This is a plate.,vocabulary,,,,,,,pending
krd_001033_vocabulary,,Iyi ni isekuro.,Ceci est un mortier.,This is a mortar.,vocabulary,,,,,,,pending
krd_001034_vocabulary,,Iyi ni isuka.,Ceci est un houe.,This is a hoe.,vocabulary,,,,,,,pending
krd_001035_idioms,,Iyi ni iyihe ndirimbo?,Quelle est cette chanson?,What is this song?,idioms,,,,,,,pending
krd_001036_grammar,,Iyi ntebe ni ngufi inyuma y’iyo,Cette chaise est plus courte que celle-là,This chair is shorter than that one,grammar,,,,,,,pending
krd_001037_grammar,,Iyi nzu ni iya nde?,A qui est cette maison ?,Whose is this house?,grammar,,,,,,,pending
krd_001038_vocabulary,,Iyi reresi yari imeze neza.,Ce film était très bon.,This movie was very good.,vocabulary,,,,,,,pending
krd_001039_vocabulary,,Iyi saha igurwa amafaranga y'Amarundi igihumbi n'Ijana.,Cette montre coûte plus de mille cent francs burundais.,This watch costs more than one thousand one hundred Burundian francs.,vocabulary,,,,,,,pending
krd_001040_proverbs,,Iyibíze nâbí uyīma ifu.,"Si cela commence mal, il vaut mieux abandonner.","If it starts on the wrong foot, it's best to walk away.",proverbs,,,,,,,pending
krd_001041_proverbs,,Iyigéze kure ntâ yitáyigéra ihěmbe.,"De loin, le lion ressemble à un chien.","In the distance, the lion appears like a dog.",proverbs,,,,,,,pending
krd_001042_proverbs,,Iyihôngotse arí imwé ntíbuzá izĭndi kurîsha.,"Si un maillon de la chaîne est cassé, les autres tiennent bon.","If one link in the chain is broken, the others hold strong.",proverbs,,,,,,,pending
krd_001043_proverbs,,Iyijá kurîsha ihēra kū nâma.,La vache nourrie au pâturage commence à manger dès la porte.,The pasture-fed cow starts eating from the gate.,proverbs,,,,,,,pending
krd_001044_proverbs,,Iyikîtse ntâ wutáyikóra mū nda.,Un chien qui ne bouge pas attire les pierres.,A dog that doesn't move attracts stones.,proverbs,,,,,,,pending
krd_001045_proverbs,clips/proverbs/prov022.mp3,Iyikúbūriye ntíkuryá.,Vous ne risquez pas de tomber dans le piège de l'ennemi lorsque ce dernier vous aura prévenu.,You are not likely to fall into the trap of the enemy when the latter has warned you.,proverbs,,,,,,,recorded
krd_001046_proverbs,,Iyinízwe n'amáta ntâ wŭndi mwērēra.,Certains problèmes n'ont pas de remède.,Certain problems have no remedy.,proverbs,,,,,,,pending
krd_001047_proverbs,,Iyirí ubwôba irahwêza.,Ceux qui laissent la peur les contrôler sont vulnérables en temps de conflit.,Those who let fear control them are vulnerable in times of conflic.,proverbs,,,,,,,pending
krd_001048_proverbs,,Iyisîzwe umûnyu n'Îmâna irigatwa ná zöse.,Celui qui est béni avec du sel attire le goût de tous.,He who is blessed with salt attracts the taste of all.,proverbs,,,,,,,pending
