ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Audio_Status
krd_002201_grammar,,"Ukunze, woshobora kumpumanura","Si tu le veux, tu peux me purifier.","If you wantto, you could cleanse me.",grammar,,,,,,,pending
krd_002202_proverbs,clips/proverbs/prov037.mp3,Ukura utabaza ugasaza utamenye.,"Quand on ne pose pas de questions en grandissant, on devient vieux tout en restant ignorant.","When you don’t ask questions while growing up, you become old while still ignorant.",proverbs,,,,,,,recorded
krd_002203_proverbs,clips/proverbs/prov031.mp3,Ukuri guca mu ziko ntigusha.,La vérité passe par le feu et ne brûle pas.,The truth passes through fire and does not burn.,proverbs,,,,,,,recorded
krd_002204_proverbs,,Ukurima ntíkubuzá ukurimārima.,Cultiver sa propre nourriture ne vous empêche pas de chercher de l'aide auprès des autres en cas de faim.,Growing your own sustenance doesn't bar you from seeking help from others when hunger strikes.,proverbs,,,,,,,pending
krd_002205_proverbs,,Ukurimira mū ndâré ní ukuzīnduka.,"Comme un agriculteur prépare le sol en jachère avant de planter, on devrait commencer sa tâche tôt pour réussir.","As a farmer tends to fallow soil ahead of planting, one should start their task early to achieve success.",proverbs,,,,,,,pending
krd_002206_proverbs,,Ukuvúga ntígukūrá akănka.,On ne peut pas défaire ce qui est fait.,You can't unring a bell.,proverbs,,,,,,,pending
krd_002207_general,,Ukwabirana kw’abafise igitsina kimwe birabujijwe.,Le mariage homosexuel est interdit.,Same-sex marriage is prohibited.,general,,,,,,,pending
krd_002208_proverbs,,Ukwabirana niyo nkingi nyayo yemewe n’amategeko,Faire le mariage est le vrai pilier approuvé par la loi,Marriage is the true pillar approved by law,proverbs,,,,,,,pending
krd_002209_proverbs,,Ukwezi kwa gatanu ni Rusama,Le cinquième mois est Mai,The fifth month is May,proverbs,,,,,,,pending
krd_002210_proverbs,,"Ukwezi kwa gatatu ni Ntwarante, Ukwezi kw’icenda ni Nyakanga.","Le troisième mois est mars, le neuvième mois est juillet.","The third month is March, the ninth month is July.",proverbs,,,,,,,pending
krd_002211_vocabulary,,Ukwezi kwa mbere ni Nzero,Le premier mois est Janvier,The first month is January,vocabulary,,,,,,,pending
krd_002212_proverbs,,Ukwezi kw’icumi na rimwe ni Munyonyo,"Le onzième mois, c'est novembre",The eleventh month is November,proverbs,,,,,,,pending
krd_002213_proverbs,,Ukwezi kw’indwi ni Mukakaro,Le septième mois est Juillet,The seventh month is July,proverbs,,,,,,,pending
krd_002214_proverbs,,Ukwezi kw’umunani ni Myandagaro,Le huitième mois est Août,The eighth month is August,proverbs,,,,,,,pending
