ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Audio_Status
krd_001501_vocabulary,,Ndashaka ubushaza bumwe.,Je veux un petit pois.,I want one peas.,vocabulary,,,,,,,pending
krd_001502_vocabulary,,Ndashaka umubu umwe.,Je veux un moustique.,I want one mosquito.,vocabulary,,,,,,,pending
krd_001503_vocabulary,,Ndashaka umudari umwe.,Je veux un médaille.,I want one medal.,vocabulary,,,,,,,pending
krd_001504_vocabulary,,Ndashaka umugeni.,Je veux un mariée.,I want one bride.,vocabulary,,,,,,,pending
krd_001505_vocabulary,,Ndashaka umuhoro umwe.,Je veux un faucille.,I want one sickle.,vocabulary,,,,,,,pending
krd_001506_vocabulary,,Ndashaka umupatiri umwe.,Je veux un prêtre.,I want one priest.,vocabulary,,,,,,,pending
krd_001507_vocabulary,,Ndashaka umusigati umwe.,Je veux un canne à sucre.,I want one sugar cane.,vocabulary,,,,,,,pending
krd_001508_vocabulary,,Ndashaka umutaka umwe.,Je veux un parapluie.,I want one umbrella.,vocabulary,,,,,,,pending
krd_001509_vocabulary,,Ndashaka umutoto umwe.,Je veux un feuille de bananier.,I want one banana leaf.,vocabulary,,,,,,,pending
krd_001510_vocabulary,,Ndashaka urugi rumwe.,Je veux un porte.,I want one door.,vocabulary,,,,,,,pending
krd_001511_vocabulary,,Ndashaka ururimi rumwe.,Je veux un langue.,I want one tongue.,vocabulary,,,,,,,pending
krd_001512_emotions,,Ndashashaye,Je suis excité,I am excited,emotions,,,,,,,pending
krd_001513_emotions,,Ndashavuye,Je suis fâchée,I am angry,emotions,,,,,,,pending
krd_001514_proverbs,,Ndashigikiye cane y’uko Ikirundi gitezwa imbere,Je soutiens fortément le développement de l'Ikirundi,I strongly support the development of Ikirundi,proverbs,,,,,,,pending
krd_001515_general,,Ndashobora kuriha nkoresheje ikarata?,Puis-je payer par carte?,Can I pay by card?,general,,,,,,,pending
krd_001516_proverbs,,Ndashonje cane.,J'ai la dalle.,I have the slab.,proverbs,,,,,,,pending
krd_001517_action-verbs,,Ndatakaye.,Je suis perdu.,I'm lost.,action-verbs,,,,,,,pending
krd_001518_emotions,,Ndatangaye,Je suis surprise,I am surprised,emotions,,,,,,,pending
krd_001519_emotions,,Ndatekereje,Je suis calme,I am calm,emotions,,,,,,,pending
krd_001520_grammar,,Ndatsitaye ndiko ndaza,J'ai trébuché en arrivant,I stumbled coming,grammar,,,,,,,pending
krd_001521_action-verbs,,Ndavyemeye.,Je suis d'accord.,I agree.,action-verbs,,,,,,,pending
krd_001522_action-verbs,,Ndavyibutse ubu,Je me souviens maintenant.,I remember now.,action-verbs,,,,,,,pending
krd_001523_action-verbs,,Ndavyibutse ubunyene.,Je me souviens maintenant.,I remember now.,action-verbs,,,,,,,pending
krd_001524_action-verbs,,Ndaza kugikosora ubunyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,action-verbs,,,,,,,pending
krd_001525_grammar,,Ndazanye ivyo kugira ngo ndavyandike,J'ai apporté ces choses pour l'écrire,I brought those things in order to write it,grammar,,,,,,,pending
krd_001526_action-verbs,,Ndazi akazi kanje.,Je connais mon travail.,I know my job.,action-verbs,,,,,,,pending
krd_001527_grammar,,Ndazi ivyanyu yuko mwuzuye ineza,Je sais pour toi à quel point tu es rempli de gentillesse,I know about you how you are filled with kindness,grammar,,,,,,,pending
krd_001528_grammar,,Ndazi yuko udashobora kwirengagiza ababi,Je sais que tu ne peux pas supporter les méchants,I know that you cannot bear the evil ones,grammar,,,,,,,pending
krd_001529_action-verbs,,Ndeka mpa amahoro.,Laisse-moi tranquille.,Leave me alone.,action-verbs,,,,,,,pending
krd_001530_grammar,,Ndemeje iki ciyumviro.,Je suis d'accord avec cette proposition.,I agree with this proposition.,grammar,,,,,,,pending
krd_001531_grammar,,Ndi gukora,je suis en train de travailler,I am working,grammar,,,,,,,pending
krd_001532_action-verbs,,Ndi jenyene.,Je suis seul,I am alone,action-verbs,,,,,,,pending
krd_001533_action-verbs,,Ndi mu biruhuko.,Je suis en vacances.,I'm on vacation.,action-verbs,,,,,,,pending
krd_001534_action-verbs,,Ndi mu rukundo,Je suis tombé amoureux.,I fell in love.,action-verbs,,,,,,,pending
krd_001535_proverbs,,Ndi umugabo ní ko gupfá.,L'orgueil précède la chute.,Pride comes before a fall.,proverbs,,,,,,,pending
krd_001536_grammar,,Ndi umugabo.,Je suis un homme.,I am a man.,grammar,,,,,,,pending
krd_001537_action-verbs,,Ndi umunyeshure.,Je suis étudiant.,I am a student.,action-verbs,,,,,,,pending
krd_001538_action-verbs,,Ndibaza nzomubona.,J'espère la revoir.,I hope to see her again.,action-verbs,,,,,,,pending
krd_001539_grammar,,Ndibube mpita,je passerai par là,I shall pass by,grammar,,,,,,,pending
krd_001540_emotions,,Ndibuka ubufasha bwawe.,Je suis reconnaissant pour votre aide.,I am grateful for your help.,emotions,,,,,,,pending
krd_001541_language,,Ndiga ikirundi,J'apprends le kirundi.,I am learning Kirundi.,language,,,,,,,pending
krd_001542_action-verbs,,Ndigira ku makosa yanje.,J'apprends de mes erreurs.,I learn from my mistakes.,action-verbs,,,,,,,pending
krd_001543_action-verbs,,Ndihereza akayi.,Je prends mon petit-déjeuner.,I have breakfast.,action-verbs,,,,,,,pending
krd_001544_action-verbs,,Ndiko Ndondera Inzu y'uburiro.,Je cherche un restaurant.,I am looking for a restaurant.,action-verbs,,,,,,,pending
krd_001545_action-verbs,,Ndiko ndadigadiga,Je suis en train de chatouiller,I am tickling,action-verbs,,,,,,,pending
krd_001546_action-verbs,,Ndiko ndafata imfunguro yomu gitondo,Je prends mon petit-déjeuner.,I have breakfast.,action-verbs,,,,,,,pending
krd_001547_action-verbs,,Ndiko ndafata imfungurwa zo mugitondo.,Je prends mon petit-déjeuner.,I have breakfast.,action-verbs,,,,,,,pending
krd_001548_action-verbs,,Ndiko ndafata ivyo mu gitondo.,Je prends mon petit-déjeuner.,I have breakfast.,action-verbs,,,,,,,pending
krd_001549_action-verbs,,Ndiko ndafukama,Je suis en train de m'agenouiller,I am kneeling,action-verbs,,,,,,,pending
krd_001550_action-verbs,,Ndiko ndafungura,Je suis en train de manger,I am eating,action-verbs,,,,,,,pending
krd_001551_action-verbs,,Ndiko ndahaguruka,Je suis en train de me tenir debout,I am standing,action-verbs,,,,,,,pending
krd_001552_general,,Ndiko ndahiga amahirwe meza.,Je cherche de nouvelles opportunités.,I am looking for new opportunities.,general,,,,,,,pending
krd_001553_action-verbs,,Ndiko ndahiga imfunguruzo zanje.,Je cherche mes clés.,I'm looking for my keys.,action-verbs,,,,,,,pending
krd_001554_action-verbs,,Ndiko ndakina,Je suis en train de jouer,I am playing,action-verbs,,,,,,,pending
krd_001555_action-verbs,,Ndiko ndakoma amashi,Je suis en train d'applaudir,I am clapping,action-verbs,,,,,,,pending
krd_001556_grammar,,Ndiko ndakora,je travaille maintenant,I am working now,grammar,,,,,,,pending
krd_001557_action-verbs,,Ndiko ndakora jenyene.,Je travaille seul.,I work alone.,action-verbs,,,,,,,pending
krd_001558_action-verbs,,Ndiko ndakwega,Je suis en train de tirer,I am pulling,action-verbs,,,,,,,pending
krd_001559_action-verbs,,Ndiko ndandika,Je suis en train d'écrire,I am writing,action-verbs,,,,,,,pending
krd_001560_action-verbs,,Ndiko ndanywa,Je suis en train de boire,I am drinking,action-verbs,,,,,,,pending
krd_001561_politeness,,"Ndiko ndaraba gusa, Urakoze","Je regarde juste, merci.","I'm just looking, thanks.",politeness,,,,,,,pending
krd_001562_politeness,,"Ndiko ndaraba gusa, murakoze.","Je regarde juste, merci.","I'm just looking, thanks.",politeness,,,,,,,pending
krd_001563_action-verbs,,Ndiko ndarira,Je suis en train de pleurer,I am crying,action-verbs,,,,,,,pending
krd_001564_action-verbs,,Ndiko ndaririmba,Je suis en train de chanter,I am singing,action-verbs,,,,,,,pending
krd_001565_action-verbs,,Ndiko ndarondera impfunguruzo zanje.,Je cherche mes clés.,I'm looking for my keys.,action-verbs,,,,,,,pending
krd_001566_action-verbs,,Ndiko ndarondera uburiro.,Je cherche un restaurant.,I am looking for a restaurant.,action-verbs,,,,,,,pending
