File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,kuba ku gihe birahambaye.,La ponctualité est importante.,Punctuality is important.,general,,,,,,,4,25
,kwubahana nico gikuru mu mibano yose.,Le respect est la base de toute relation.,Respect is the basis of any relationship.,general,,,,,,,6,37
,"mbega,turyama hehe??","Alors, où dormons-nous ?",So where do we sleep?,general,,,,,,,2,20
,mpitamwo imiti yaha iwacu.,Je préfère les produits locaux.,I prefer local products.,general,,,,,,,4,26
,mu mwanya.,À plus tard.,See you later.,general,,,,,,,2,10
,"mugabo ,nyumviriza .","Mec, écoute-moi.","Dude, listen to me.",general,,,,,,,3,20
,muka Petero,la femme de Pierre,the wife of Peter,grammar,,,,,,,2,11
,murantunga kuri uku gucerwa.,Veuillez m'excuser pour le retard.,Please forgive me for the delay.,general,,,,,,,4,28
,muri abagwaneza.,Vous êtes très gentil.,You are very kind.,general,,,,,,,2,16
,muri iki gitondo harakanye.,Il fait froid ce matin.,It's cold this morning.,general,,,,,,,4,27
,musaza wanje araciye ubwenge,Mon frère est intelligent.,My brother is smart.,general,,,,,,,4,28
,"mwaramutse, mumeze gute?","Bonjour, comment allez-vous?","Good morning, how are you doing?",general,,,,,,,3,24
,mwoshorobora gutekeneza iki?,Pouvez-vous réparer cela?,Can you fix this?,general,,,,,,,3,28
,n'akazi gakorerwa hamwe nabandi,C'est un travail d'équipe.,It's teamwork.,general,,,,,,,4,31
,n'icivugo ciza c'urukundo,C'est une belle thème d'amour.,It's a beautiful love theme.,general,,,,,,,3,25
,n'uguhimbariza umwanya uwariwo wose.,Il faut profiter de chaque instant.,You have to enjoy every moment.,general,,,,,,,4,36
,nacererewe kwi bisi.,J'ai raté le bus.,I missed the bus.,general,,,,,,,3,20
,nakahe kazi kawe?,Quel est votre travail?,What is your job?,general,,,,,,,3,17
,nashaka aga kawa.,Je voudrais un café.,I would like a coffee.,general,,,,,,,3,17
,natakaje ingodo yanje,J'ai perdu mon portefeuille.,I lost my wallet.,general,,,,,,,3,21
,ndabifurije umunezero wuzuye,Je leur souhaite beaucoup de bonheur.,I wish them lots of happiness.,general,,,,,,,3,28
,ndafiseko amakenga.,J'ai quelques doutes.,I have some doubts.,general,,,,,,,2,19
,ndagerageza imisi yose kuba kw'isaha,J'essaie d'être toujours à l'heure.,I try to always be on time.,general,,,,,,,5,36
,ndagiye mukibanza cokwinonorer imitsi!,Je vais à la salle de sport.,I go to the gym.,general,,,,,,,4,38
,ndakeneye ifu n'isukari,J'ai besoin de farine et de sucre.,I need flour and sugar.,general,,,,,,,3,23
,ndakeneye umusegetera.,J'ai besoin d'une moustiquaire.,I need a mosquito net.,general,,,,,,,2,22
,ndakunda akazi kanje.,J'aime mon travail.,I love my job.,general,,,,,,,3,21
,ndakunda kwoga mukiyaga,J'aime nager dans le lac.,I like swimming in the lake.,general,,,,,,,3,23
