File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Rumonge ni intara ihanamiye ikiyaga Tanganyika,Rumonge est une province située au bord du lac Tanganyika,Rumonge is a province located on the shores of Lake Tanganyika,general,,,,,,,6,46
,Rutana ni ikomine iri muntara ya Rutana nyene,Rutana est une commune de la province de Rutana,Rutana is a commune in the province of Rutana,general,,,,,,,8,45
,"Ryari irya mbere ndavyumvise, bintera amakenga.","C'était la première fois que j'en entendais parler, ce qui m'a rendu méfiant.","This was the first time I had heard of it, which made me suspicious.",general,,,,,,,6,47
clips/sound_humour/h19.mp3,Samandari akubise ukuguru mu ziko ati yorororo! Umutama yogirwa n'agacanwa!,"""Magnifique ! Pour faire du feu, rien ne vaut un petit vieux !"", comme disait Samandari en posant par mégarde son pied dans la cheminée !","""Beautiful! To make fire, nothing beats a little old man!"", as Samandari said inadvertently posing his foot in the fireplace!",jokes,,,,,,,10,75
,Shira impuzu gutatu,Mettez les vêtements en trois groupes,Put the clothes in three groups,grammar,,,,,,,3,19
,Shàá navyūtse mu gatôndo nîdōga ingéne abakózi bānyonônera.,Je me suis réveillé ce matin en me plaignant que mes employés font du mauvais travail. ,I woke up in the morning complaining that my workers are doing a bad job,jokes,,,,,,,8,59
,Sigura bino ataco musimvye.,Pouvez-vous expliquer cela en détail?,Can you explain this in detail?,general,,,,,,,4,27
,Simpora nkora ivyo,Je ne fais pas toujours ça.,I don’t always do that.,grammar,,,,,,,3,18
,Sinabigishije kuvuga gurtyo,Je ne t'ai pas appris à parler comme ça,I didn’t teach you to speak like that,grammar,,,,,,,3,27
,Sinabíkoze yakóze umugabo mw'īrúgu.,"Plus le déni est fort, plus la culpabilité est profonde.","The louder the denial, the deeper the guilt.",proverbs,,,,,,,4,35
,Sinakunze kino gitabo.,Je n'ai pas aimé ce livre.,I didn't like this book.,general,,,,,,,3,22
,Sinakunze kino gitabu.,Je n'ai pas aimé ce livre.,I didn't like this book.,general,,,,,,,3,22
,Sinatahuye neza.,Je n'ai pas bien compris.,I didn't quite understand.,general,,,,,,,2,16
,Sindanamuzi,je ne le connais pas du tout,I don’t know him at all,grammar,,,,,,,1,11
,Sindibube ndima,je ne vais pas biner,I am not going to hoe,grammar,,,,,,,2,15
,Sinigeze kugenda i Bururi,Je ne suis encore jamais allé à Bururi,I have never yet gone to Bururi,grammar,,,,,,,4,25
,Sinkunda epinari.,Je n'aime pas les épinards.,I don't like spinach.,general,,,,,,,2,17
,Sinshobora,Je ne peux pas.,I can't.,general,,,,,,,1,10
,"Sinshobora kuguhemba ubu, ariko mw iyinga riza nzoba mfise amafaranga akwiye","Je ne peux pas te payer maintenant, mais la semaine prochaine j'aurai assez d'argent","I can’t pay you now, but next week I will have enough money",grammar,,,,,,,11,76
,Sinshobóra kwîyumvīsha Ingéne ibīntu vyöse vyàádūze ibicîro aríko imibú ikaguma itúrya ku būntu.,"Je ne comprends pas pourquoi les prix de tout explosent, alors que les moustiques continuent de nous dévorer gratuitement","I can't comprehend why the costs of everything are soaring, yet mosquitoes persist in feasting on us without charge.",jokes,,,,,,,13,96
,Sinywa ibiboreza.,Je ne bois pas d'alcool.,I don't drink alcohol.,general,,,,,,,2,17
,Sinywa inzoga.,Je ne bois pas d'alcool.,I don't drink alcohol.,general,,,,,,,2,14
,Sinzi ivyabaye,Je ne sais pas ce qui s'est passé.,I don’t know what happened.,grammar,,,,,,,2,14
,Sinzi ko azokira,Je ne sais pas s'il ira mieux,I don’t know if he will get well,grammar,,,,,,,3,16
,Sinzoba ndiko ndakora,je ne serai pas,I will not be,grammar,,,,,,,3,21
,Sinzokwigera mbesha,Je ne mentirai jamais,I shall never lie,grammar,,,,,,,2,19
,Sumuntu akunda gukoranako.,Elle n'est pas du genre câlineuse.,She's not the cuddly type.,general,,,,,,,3,26
,Só akwănka akuraga ivyămunaniye.,Un mauvais père laisse un héritage de problèmes non résolus à ses enfants.,A bad father leaves a legacy of unfinished business for his children to tackle.,proverbs,,,,,,,4,32
,Só ntákwănka akwīta nâbí.,"Le cœur d'un père est toujours affectueux, même si ses mots semblent durs.","A father's heart is always fond, even if his words seem harsh.",proverbs,,,,,,,4,25
,Sīndyá aka ahinyuzwa n'úmusáse.,Ne pas manger le soir entraîne des regrets le matin.,Not eating at night results in morning regre.,proverbs,,,,,,,4,31
,Terefone yanje iri hehe?,Où est mon téléphone?,Where is my phone?,general,,,,,,,4,24
,Terefone yanje ntikora.,Mon téléphone ne fonctionne pas.,My phone doesn't work.,general,,,,,,,3,23
,"Tora , ambara ibi.","Tiens, enfile ça.","Here, put this on.",general,,,,,,,4,18
,Tubana n'uruganda ruhingura imikate,Nous habitons près du boulangerie.,We live near the bakery.,general,,,,,,,4,35
,Tubeho mur'uno mwanya.,Vivons le moment présent.,Let's live in the present moment.,general,,,,,,,3,22
,Tubeho muri iki gihe.,Vivons le moment présent.,Let's live in the present moment.,general,,,,,,,4,21
,Tubiri tuvūrana ubúpfu.,"En temps de difficulté, deux individus sont censés s'entraider.","In times of hardship, two individuals are meant to lend each other a helping hand.",proverbs,,,,,,,3,23
,Tugende kw'ishuri.,Allons à l'école.,Let's go to school.,general,,,,,,,2,18
,Tugende kw'isoko.,Allons au marché.,Let's go to the market.,general,,,,,,,2,17
,Tugende kwishure.,Allons à l'école.,Let's go to school.,general,,,,,,,2,17
,Tugende mu cumba,Allons dans la chambre.,Let's go to the bedroom.,general,,,,,,,3,16
,Tugiye ku isoko rikomeye.,Nous allons au supermarché.,We are going to the supermarket.,general,,,,,,,4,25
,Tugiye kumusenyi.,Nous allons à la plage.,We are going to the beach.,general,,,,,,,2,17
,Tugiye kw'isoko.,Nous allons au supermarché.,We are going to the supermarket.,general,,,,,,,2,16
,Tugiye mu kibira.,Nous allons au parc.,We are going to the park.,general,,,,,,,3,17
,Tugiye muri parike.,Nous allons au parc.,We are going to the park.,general,,,,,,,3,19
,Tugomba gukingira ibidukikije.,Nous devons protéger l'environnement.,We must protect the environment.,general,,,,,,,3,30
,"Tugomba kubafasha mu mitima yanyu, ni co gituma tubinginga durtya","Nous voulons vous aider dans votre cœur, c’est pourquoi nous vous supplions ainsi.","We want to help you in your hearts, that’s why we plead with you like this.",grammar,,,,,,,10,65
,Tugomba kunoza serivisi yacu.,Nous devons améliorer notre service.,We need to improve our service.,general,,,,,,,4,29
,Tuje kunywa kamwe iyi joro,Allons boire un verre ce soir.,Let's go have a drink tonight.,general,,,,,,,5,26
,Tuje mu cumba.,Allons dans la chambre.,Let's go to the bedroom.,general,,,,,,,3,14
,Tuje mu kaguriro.,Allons au marché.,Let's go to the market.,general,,,,,,,3,17
,Tuje mukaguriro.,Allons au marché.,Let's go to the market.,general,,,,,,,2,16
,Tunwa shokora ishushe.,Nous buvons du chocolat chaud.,We drink hot chocolate.,general,,,,,,,3,22
,Turafise inama.,Nous avons une réunion.,We have a meeting.,general,,,,,,,2,15
,Turafise umubonano.,Nous avons une réunion.,We have a meeting.,general,,,,,,,2,19
,Turaja gufata kamwe iri joro.,Allons boire un verre ce soir.,Let's go have a drink tonight.,general,,,,,,,5,29
,Turaja ku misozi mu mpera z'Indwi.,Nous allons à la montagne ce week-end.,We are going to the mountains this weekend.,general,,,,,,,6,34
,Turakeneye ibimenyetso.,Nous avons besoin de preuves.,We need proof.,general,,,,,,,2,23
,Turakunda indirimbo,Nous aimons la musique.,We love music.,general,,,,,,,2,19
,Turakunda umuziki.,Nous aimons la musique.,We love music.,general,,,,,,,2,18
,Turanywa shokola ishushe.,Nous buvons du chocolat chaud.,We drink hot chocolate.,general,,,,,,,3,25
,Turashaka uyundi mwanya.,Nous avons besoin de plus de temps.,We need more time.,general,,,,,,,3,24
,Turashobora kubikorana nimba ushaka.,Je peux le faire avec toi si tu préfère.,I can do it with you if you prefer.,general,,,,,,,4,36
,Turashobora kuryohora akazi yacu,Nous devons améliorer notre service.,We need to improve our service.,general,,,,,,,4,32
,Turasubira hanyuma.,On se capte plus tard.,We'll catch up later.,general,,,,,,,2,19
,Turasubira.,À plus tard.,See you later.,general,,,,,,,1,11
,Turatera ibiharage ubu kugira ngo mu kwezi kwa kabiri tuze turonke ivyo kurya,Nous plantons des haricots maintenant pour avoir de la nourriture en février,We are planting beans now so that in February we will have food,grammar,,,,,,,13,77
,Turatera ibiti,Nous plantons des arbres.,We plant trees.,general,,,,,,,2,14
,Turegeranya imicafu.,Nous trions nos déchets.,We sort our waste.,general,,,,,,,2,20
,Turi giheki?,Quel temps fait-il?,What's the weather like?,general,,,,,,,2,12
,Turi isaha zingahe?,Quelle heure est-il?,What time is it?,general,,,,,,,3,19
