File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Izi ni ingano.,Ceci est un blé.,This is a wheat.,vocabulary,,,,,,,3,14
,Izi nzoga ni kuziheba nukuri.,Il est peut-être temps de stopper l'alcool.,Perhaps it's time to consider cutting back on the drinking.,jokes,,,,,,,5,29
,Izijá guhóna zihēra mu ruhŏngore.,Le destin inévitable des vaches se révèle lorsqu'elles commencent à mourir une à une à l'intérieur de l'enclos.,The inevitable fate of cows reveals itself as they begin to die off one by one within the enclosure.,proverbs,,,,,,,5,33
,Izikénye ziruta izinyázwe.,"Une vache maigre dans ton troupeau vaut mieux qu'une grasse, volée.","A thin cow in your herd is better than a fat one, stolen from you.",proverbs,,,,,,,3,26
,Izina ryanyu ni gute?,Quel est votre nom?,What is your name?,general,,,,,,,4,21
,Izo nzu ni rwanyu,Ces maisons sont à toi,Thoses houses are yours,grammar,,,,,,,4,17
,Izo zibiká zări amági.,Les grandes choses ont de petits commencements.,Big things have small beginnings.,proverbs,,,,,,,4,22
,Izo zābíra zări imitavu.,Les géants d'aujourd'hui étaient autrefois minuscules.,Today's giants were once tiny.,proverbs,,,,,,,4,24
,Izorwa ejo.,Il va pleuvoir demain.,It's going to rain tomorrow.,general,,,,,,,2,11
,Izuba riraka uyu musi.,Le soleil brille aujourd'hui.,The sun is shining today.,general,,,,,,,4,22
,Izuba rirasayengana uno musi,Le soleil brille aujourd'hui.,The sun is shining today.,general,,,,,,,4,28
,Izuba rirenga bwije mu ci.,Le soleil se couche tard en été.,The sun sets late in summer.,general,,,,,,,5,26
,Izuba rirenga riteba mu ci.,Le soleil se couche tard en été.,The sun sets late in summer.,general,,,,,,,5,27
,Izuba rirenga ritevye muci.,Le soleil se couche tard en été.,The sun sets late in summer.,general,,,,,,,4,27
,Izína ní ryo mūntu.,"Comme le nom, telle est la personne.","As the name, so is the person.",proverbs,,,,,,,4,19
,Izā nyabutīndi zămazwe n'úmugére w'ísāzi.,"Petit à petit, les biens d'un malchanceux disparaissent pour des raisons futiles.","Little by little, the possessions of an unlucky individual disappear for trivial reasons.",proverbs,,,,,,,5,41
,Jewe mfise basazanje babiri,J'ai deux frères.,I have two brothers.,general,,,,,,,4,27
,Jewe mpitamwo umuceri hako notora imikate,Je préfère le riz au lieu des pâtes.,I prefer rice instead of pasta.,general,,,,,,,6,41
,Jewe nari nsanzwe nzi k’unyumviriza ubudasiba,Je savais que tu m'écoutais toujours,I knew that you always listen to me,grammar,,,,,,,6,45
,Jewe ndarondera imfunguruzo zanje,Je cherche mes clés.,I'm looking for my keys.,general,,,,,,,4,33
,Jewe ndashonje ubu,J'ai faim maintenant.,I'm hungry now.,general,,,,,,,3,18
,Jewe ndi mushiki wa Kagabo.,Moi je suis la sœur de Kagabo.,I am Kagabo's sister.,general,,,,,,,5,27
,Jewe ndi umunyeshure,Je suis étudiant.,I am a student.,general,,,,,,,3,20
,Jewe ngiye gufata itagisi,Je vais prendre un taxi.,I'm going to take a taxi.,general,,,,,,,4,25
,Jewe ngiye muri kaminuza,Je vais à l'université.,I'm going to university.,general,,,,,,,4,24
,Jewe nkeneye impanuro,J'ai besoin d'un conseil.,I need advice.,general,,,,,,,3,21
,Jewe nshaka kwiga igifaransa,Je veux apprendre le français.,I want to learn French.,general,,,,,,,4,28
,Jewe ntegerezwa gukora imyimenyerezo myinshi,Je dois faire plus d'exercice.,I need to exercise more.,general,,,,,,,5,44
