File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Nta nzoga nywa.,Je ne bois pas d'alcool.,I don't drink alcohol.,general,,,,,,,3,15
,Nta wundi ndibwirukire,Il n'y a personne d'autre vers qui je pourrais courir,There is no other person I could run to,grammar,,,,,,,3,22
clips/sound_proverb/prov021.mp3,Nta wutanga Imama kwihebura.,Vous n’abandonnez pas le désespoir devant Dieu.,You don't give up to despair before God.,proverbs,,,,,,,4,28
,Ntabwo nemeranya.,Je ne suis pas d'accord.,I don't agree.,general,,,,,,,2,17
,Ntaco naronse.,Je n'ai rien reçu.,I didn't receive anything.,general,,,,,,,2,14
,Ntaco witaho.,Tu n'es pas responsable.,You are not responsible.,general,,,,,,,2,13
,Ntakunda kugumbirana.,Elle n'est pas du genre câlineuse.,She's not the cuddly type.,general,,,,,,,2,21
,Ntamafaranga mfise.,Je n'ai pas d'argent.,I don't have any money.,general,,,,,,,2,19
,Ntamahera ngira.,Je n'ai pas d'argent.,I don't have any money.,general,,,,,,,2,16
,Ntanakimwe ndaronka.,Je n'ai rien reçu.,I didn't receive anything.,general,,,,,,,2,20
,Ntanumwe adakosha.,Personne n'est parfait.,Nobody is perfect.,general,,,,,,,2,18
,Ntaramúka arutwa na yό (arutwa n'Imâna).,Souhaiter du mal aux autres est insignifiant comparé à la puissance de Dieu.,Wishing harm upon others pales in comparison to the power of God.,proverbs,,,,,,,6,40
,Ntaribwaze mu Burundi,avant de venir au Burundi,before I ever came to Burundi,grammar,,,,,,,3,21
,Ntarátaze aruta mbūndâre.,"Dans la course de la vie, le travailleur devance le dormeur.","In the race of life, the hustler outruns the sleeper.",proverbs,,,,,,,3,25
clips/sound_proverb/prov043.mp3,Ntawurya akatamugoye.,Aucun bonbon ne vient sans sueur.,No sweet comes without sweat.,proverbs,,,,,,,2,21
clips/sound_proverb/prov026.mp3,Ntawuvuga yose nk'uwuraga.,Toutes les vérités ne méritent pas d’être dites.,Not every truth is worthy to be said.,proverbs,,,,,,,3,26
