File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Ndiko nubaka igorofa y'umusenyi.,Je construis un château de sable.,I'm building a sandcastle.,general,,,,,,,4,32
,Ndiko nywa icayi gishushe.,Je bois du thé chaud.,I drink hot tea.,general,,,,,,,4,26
,Ndiko soma igitabo ciza.,Je lis un bon livre.,I'm reading a good book.,general,,,,,,,4,24
,Ndikonywa icayi gishushe.,Je bois du thé chaud.,I drink hot tea.,general,,,,,,,3,25
,Ndimé nshīmwé yagûye mw'īsemo.,Ceux qui agissent uniquement pour la reconnaissance trouvent leur parcours éphémère.,Those who act solely for recognition find their journey short-lived.,proverbs,,,,,,,4,30
,Ndishimye kubonana nawe.,Enchanté de vous rencontrer.,Nice to meet you.,general,,,,,,,3,24
,Ndorera ko yohita,J'attends qu'il passe,I’m waiting for him to pass by,grammar,,,,,,,3,17
,Ndânse ibēra umusazi.,"Refuser une simple demande est le chemin du fou, tandis que le sage tend la main.","To refuse a simple request is the path of the fool, while the wise extend a helping hand.",proverbs,,,,,,,3,21
,"Ndí mu kaguriro, nahūriyeyó n'ûwó twāhorá dúkūndana, ca ntāngura kugura ibīntu ndámubēsha kó ndíko ngura ivy’úbukwé.","Quand j'ai croisé mon ex au centre commercial, j'ai impulsivement commencé à acheter plein de choses, prétendant que je me préparais pour mon mariage. ","When I ran into my ex at the mall, I impulsively started buying a bunch of things, pretending I was preparing for my wedding.",jokes,,,,,,,16,116
,Ndīndé yarápfūye Mpūngé arakíra.,"Un homme courageux peut tomber, mais un homme prudent survit.","A brave man may fall, but a prudent man survives.",proverbs,,,,,,,4,32
,Ngaba mama na bene mama,Voici ma mère et mes frères,Here are my mother and my brothers,grammar,,,,,,,5,23
,Ngendanwa yanje irihe?,Où est mon téléphone?,Where is my phone?,general,,,,,,,3,22
,Ngira mfate tagisi.,Je vais prendre un taxi.,I'm going to take a taxi.,general,,,,,,,3,19
,Ngira ngo nta biharage biriho mw isoko,Je ne pense pas qu'il y ait des haricots au marché,I don’t think there are any beans at the market,grammar,,,,,,,7,38
,"Ngira ngo ntidushobora gukora ya mashini, Dupfe kugerageza","Je ne pense pas que nous puissions réparer cette machine, essayons quand même","I don’t think we can repair that machine, Let’s try anyhow",grammar,,,,,,,8,58
,Ngira niyoze amenyo.,Je me brosse les dents.,I brush my teeth.,general,,,,,,,3,20
,Ngira nkosore ico ubunyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,general,,,,,,,4,27
,Ngira nkosore ubu nyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,general,,,,,,,4,24
,Ngira noze ivyombo.,Je vais faire la vaisselle.,I'm going to do the dishes.,general,,,,,,,3,19
,Ngira nrye indya.,Je veux manger de la nourriture.,I want to eat food.,general,,,,,,,3,17
,Ngira nsinzire gato.,Je vais faire une sieste.,I'm going to take a nap.,general,,,,,,,3,20
,Ngira ntume integuza yanje imbere y’amaso yawe,Je suis sur le point d'envoyer mon messager devant ta face,I am about to send my messenger before your face,grammar,,,,,,,7,46
,Ngivyo ibiti twaguze,Il y a les arbres que nous avons achetés,There are the trees we bought,grammar,,,,,,,3,20
,Ngiye gufata tagisi.,Je vais prendre un taxi.,I'm going to take a taxi.,general,,,,,,,3,20
,Ngiye guhimbaza misa,Je vais célébrer la messe,I'm going to celebrate mass,general,,,,,,,3,20
,Ngiye guhindura akazi.,Je vais changer de travail.,I'm going to change jobs.,general,,,,,,,3,22
,Ngiye gusinzira.,Je vais me coucher.,I'm going to bed.,general,,,,,,,2,16
,Ngiye ku bitaro.,Je vais à l'hôpital.,I'm going to the hospital.,general,,,,,,,3,16
,Ngiye ku kazi.,Je vais au travail.,I'm going to work.,general,,,,,,,3,14
,Ngiye kubitaro,Je vais à l'hôpital.,I'm going to the hospital.,general,,,,,,,2,14
,Ngiye kuri kaminuza.,Je vais à l'université.,I'm going to university.,general,,,,,,,3,20
,Ngiye kuryama.,Je vais me coucher.,I'm going to bed.,general,,,,,,,2,14
,Ngiye kwoza ivyombo.,Je vais faire la vaisselle.,I'm going to do the dishes.,general,,,,,,,3,20
,Ngiye mu misa,Je vais dans la messe,I go to mass,general,,,,,,,3,13
,Ngiye mubitaro,Je vais à l'hôpital.,I'm going to the hospital.,general,,,,,,,2,14
,Ngiye mukibanza c'ikarashishi.,Je vais à la salle de sport.,I go to the gym.,general,,,,,,,3,30
,Ngiye munyubakwa ya siporo.,Je vais à la salle de sport.,I go to the gym.,general,,,,,,,4,27
,Ngiye muri kaminuza.,Je vais à l'université.,I'm going to university.,general,,,,,,,3,20
,Ngizi impuzu nakubwiye,Voici les vêtements dont je vous ai parlé,Here are the clothes I told you about,grammar,,,,,,,3,22
,"Ngo kuraba barabe, yamara ntibavyitegereze; kwumva bavyumve, yamara ntibabitahure","Qu'ils peuvent regarder, mais ils ne peuvent pas le comprendre ; afin qu'ils puissent l'entendre mais ne pas le comprendre","That they may look, but they may not comprehend it; that they may hear it but not understand it",grammar,,,,,,,9,81
,Ngomba gukora imyimenyerezo myinshi.,Je dois faire plus d'exercice.,I need to exercise more.,general,,,,,,,4,36
,Ngomba gukora isuku.,Je dois faire la lessive.,I have to do the laundry.,general,,,,,,,3,20
,Ngomba kuja gusuma.,Je dois faire les courses.,I have to go shopping.,general,,,,,,,3,19
,Ngomba kuja muri banki.,Je dois aller à la banque.,I have to go to the bank.,general,,,,,,,4,23
,Ngomba kuryama.,Je veux dormir.,I want to sleep.,general,,,,,,,2,15
,Ngomba kuvyiyumvirako.,Je dois y réfléchir.,I have to think about it.,general,,,,,,,2,22
,Ngomba kuzokoresha ico cuma ejo,Je voudrais utiliser cet outil demain,I’ll want to use that tool tomorrow,grammar,,,,,,,5,31
,Ngomba umuceri hakurya Ubugari.,Je préfère le riz au lieu des pâtes.,I prefer rice instead of pasta.,general,,,,,,,4,31
,Ngozi ni igisagara kiri mugihugu c'Uburundi,Ngozi est une ville du Burundi,Ngozi is a town in Burundi,general,,,,,,,6,43
,Nguyu Umwagazi w’intama w’Imana ukuraho icaha c’abari mw isi,Voici l'Agneau de Dieu qui enlève le péché de ceux qui sont sur la terre,Here is the Lamb of God who takes away the sin of those on the earth,grammar,,,,,,,9,60
,Nguyu umwana wa Petero,Voici l'enfant de Peter,Here is Peter’s child,grammar,,,,,,,4,22
,Ni Igitekerezo ciza.,C'est une bonne idée.,It's a good idea.,general,,,,,,,3,20
,Ni akazi k'umugwi.,C'est un travail d'équipe.,It's teamwork.,general,,,,,,,3,18
,Ni akumiza!,C'est dingue !,It's crazy!,general,,,,,,,2,11
,Ni amahitamwo agoye.,C'est un choix difficile.,It's a difficult choice.,general,,,,,,,3,20
,Ni bwa bubabare uvuga uti bugiye kuvamwo inyungu,C’est cette douleur dont tu dis qu’elle finira par produire un avantage,This is the pain that you say will eventually produce an advantage,general,,,,,,,8,48
,Ni co gituma jeho kubwanje nitugeye kubabwira ubutumwa,C'est pourquoi je suis moi-même prêt à vous annoncer l'Évangile,That is why I myself am prepared to tell you the Gospel,grammar,,,,,,,8,54
,Ni gihe ki?,Quelle heure est-il?,What time is it?,general,,,,,,,3,11
,Ni gute bakivuga mu gifaransa?,Comment dit-on cela en français?,How do you say this in French?,general,,,,,,,5,30
,Ni gute mubizi?,Comment le savez-vous ?,How do you know?,general,,,,,,,3,15
,Ni hagira umuntu abibonye n’abivuge,"Si quelqu'un l'a vu, qu'il le dise","If there is anyone who saw it, let him say so",grammar,,,,,,,5,35
,Ni hehe har'iguriro ry'imiti aha hafi?,Où est la pharmacie la plus proche?,Where is the nearest pharmacy?,general,,,,,,,6,38
,Ni ibisanzwe.,Ce n'est pas grave.,It's not serious.,general,,,,,,,2,13
,Ni iciyumviro ciza.,C'est une bonne idée.,It's a good idea.,general,,,,,,,3,19
,Ni igiki wakumbuye?,Qu'est-ce qui t'a manqué?,What did you miss?,general,,,,,,,3,19
,Ni iki uriko urampisha?,Qu'est-ce que tu me caches ?,What are you hiding from me?,general,,,,,,,4,23
,Ni ikihe cambere kubiza gukorwa uyu musi?,Quel est le premier point à l'ordre du jour?,What is the first item on the agenda?,general,,,,,,,7,41
,Ni inkuru y'Urukundo.,C'est une belle histoire d'amour.,It's a beautiful love story.,general,,,,,,,3,21
,Ni intsinzi ikomeye.,C'est un grand succès.,It's a great success.,general,,,,,,,3,20
,Ni isaha zingahe ?,Quelle heure est-il?,What time is it?,general,,,,,,,4,18
,Ni itariki zingahe ?,Quelle est la date?,What is the date?,general,,,,,,,4,20
,Ni itsinzi rikomeye,C'est un grand succès.,It's a great success.,general,,,,,,,3,19
,Ni je nabikoze,c'est moi qui l'ai fait,I am the one who did it,grammar,,,,,,,3,14
,"Ni ko Yohana yaje, abatiriza mu bugaragwa",Ainsi Jean vint et baptisa dans le désert,"Thus John came, and baptized in the desert",grammar,,,,,,,7,41
,Ni mu marérèési hônyené uzôbóna umuvyêyi ajá kwìísigura ku mwâna wîwé.,"Ce n'est qu'en occident que l'on trouve des parents qui, lorsqu'ils font quelque chose de mal, s'expliquent devant leur enfant. ","Only in western countries do you find parents who, when they do something wrong, explain themselves in front of their child.",jokes,,,,,,,11,70
,Ni muganga ku bitaro.,Il est médecin à l'hôpital.,He is a doctor at the hospital.,general,,,,,,,4,21
,"Ni muje mu gisagara, umugabo muribuhure mumukurikire","Allez en ville, l'homme que vous rencontrerez, suivez-le","Go into the city, the man you will meet follow him",grammar,,,,,,,7,52
,Ni mwugate idirisha.,Veuillez fermer la fenêtre.,Please close the window.,general,,,,,,,3,20
,"Ni nabona kuza ku wa kane, tuzobivugana","Si je peux venir jeudi, nous en discuterons.",If I am able to come on Thursday we shall talk over it.,grammar,,,,,,,7,39
,Ni nabona uburyo ndibube ndahita,"Si je trouve une opportunité, je passerai par là",If I find opportunity I shall pass by,grammar,,,,,,,5,32
,"Ni nafata umuntu yakoze ico, uw’ ari we wese, nzomuhana","Si j'attrape la personne qui a fait ça, quelle qu'elle soit, je le punirai","If I catch the person that did that, whoever he is, I will punish him",grammar,,,,,,,10,55
,Ni nagenda i Bujumbura nzogura ibitabo,Si je vais à Bujumbura j'achèterai des livres,If I go to Bujumbura I will buy some books,grammar,,,,,,,6,38
,Ni naheza kurya mpava ngenda kuvoma,"Quand j'aurai fini de manger, j'irai tout de suite chercher de l'eau","When I finish eating, I’ll go at once to get water",grammar,,,,,,,6,35
,Ni nashika i Kibuye nzoca ngenda i Bukirasazi,Quand j'arriverai à Kibuye j'irai tout de suite à Bukirasazi,When I get to Kibuye I’ll go at once to Bukirasazi,grammar,,,,,,,8,45
,Ni nashika i Kibuye nzohava ngenda i Bukirsazi,Quand j'arriverai à Kibuye j'irai tout de suite à Bukirasazi,When I get to Kibuye I’ll go at once to Bukirasazi,grammar,,,,,,,8,46
,"Ni nde ashobora guharira ivyaha atari umwe, ni we Mana?","Qui peut pardonner les péchés, sauf un, c'est Dieu ?","Who can forgive sins, except one, that is God?",grammar,,,,,,,10,55
,"Ni nde ashobora guharira ivyaha, atari umwe, ni we Mana?","Qui peut pardonner les péchés, sauf Un, c’est Dieu ?","Who can forgive sins, except One, that is God?",grammar,,,,,,,10,56
,Ni nde yabanje kumuha kandi akazokwishurwa?”,Qui lui a donné le premier et cela lui sera rendu ?,Who first gave to him and it shall be repaid to him?”,grammar,,,,,,,6,44
,Ni nk’impembo ivuye mu muruho,C'est comme un salaire venant du fatigue,It's like a salary coming from fatigue,general,,,,,,,5,29
,"Ni twarorera iyindi misi mikeya, igitoke kizoba gihiye","Si on attend encore quelques jours, les bananes seront mûres","If we wait a few more days, the bananas will be ripe",grammar,,,,,,,8,54
,Ni twatura ivyaha vyacu ... bituma iduharira,Si nous confessons nos péchés... il nous pardonne,If we confess our sins ... he forgives us,grammar,,,,,,,7,44
,Ni ukwezi wasanga imvura ari nyinshi n’intuguta,C'était un mois de fortes pluies et de chaleurs,It was a month of heavy rain and heat,general,,,,,,,7,47
,Ni umugenzi wanje.,C'est mon ami.,He's my friend.,general,,,,,,,3,18
,Ni umunya bugenegene abizi.,Elle est une artiste talentueuse.,She is a talented artist.,general,,,,,,,4,27
,Ni umunyatugenegenekazi w'umunyempano.,Elle est une artiste talentueuse.,She is a talented artist.,general,,,,,,,3,38
,"Ni umwuga mweranda, kuko ufasha abantu guhinduka","C'est un saint professeur, car il aide les gens à changer.",He is a holy teacher because he helps people change.,general,,,,,,,7,48
,Ni uwundi mugenzo ucinyiza abakenyezi,C'est une autre tradition qui rabaisse les femmes.,This is another tradition that demeans women.,general,,,,,,,5,37
,Ni vyiza kubw'Umubiri w'Ubudahangarwa.,C'est bon pour le système immunitaire.,It's good for the immune system.,general,,,,,,,4,38
,"Ni waheza ivyo isaha sita itarashika, ushobora gutaha","Si tu finis ça avant midi, tu peux rentrer chez toi",If you finish that before noon you may go home,grammar,,,,,,,8,53
,Ni wamubona umubwire ko twashitse,"Quand tu le verras, dis-lui que nous sommes arrivés",When you see him tell him we have arrived,grammar,,,,,,,5,33
