File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Urwaruka kandi na rwo rurakwiye kwijukira amashirahamwe.,Les adolescents devraient également se tourner vers les organisations.,Teenagers should also look to organizations.,general,,,,,,,7,56
,Urwo rwego rusabwa na bose.,Ce niveau est requis par tous.,This level is required by everyone.,general,,,,,,,5,27
,Urwânko rutēsha urwârwá.,La haine engendre la destruction et le mal.,Hatred breeds destruction and harm.,proverbs,,,,,,,3,24
,Urwĭba rwība umugabo.,Un voleur habile peut entrer dans une forteresse.,A skilled thief can enter a fortress.,proverbs,,,,,,,3,21
,Urya cāne ukīroga inzara.,Manger excessivement peut faire de la faim votre compagne constante.,Excessive eating can make hunger your constant companion.,proverbs,,,,,,,4,25
,Urya nk'úmugabo ukanigwa.,L'orgueil excessif et la cupidité insatiable conduisent souvent à une grave chute.,Excessive pride and insatiable greed often lead to a grave downfall.,proverbs,,,,,,,3,25
,Urímye ikibára hakamera inzúzi ntízibá arí izâwé.,"Si la récolte te surprend, ce n'est pas ta culture..","If the harvest surprises you, it's not your crop.",proverbs,,,,,,,7,49
,Urāmba cāne ukarīnda uruvyíno rw'îmbwá.,"Avec l'âge, certaines peurs perdent leur pouvoir.","With age, certain fears no longer hold power.",proverbs,,,,,,,5,39
,Usaba Imâna y'úwŭndi ikaguha amahere.,Ne demandez pas à Dieu ce qui dépasse votre destin.,Do not ask God for what is beyond your destiny.,proverbs,,,,,,,5,37
,Usaba inēra ukaba inēra.,Celui qui cherche de l'aide auprès d'une mauvaise personne hérite de ses manières.,He who seeks help from a bad person inherits their ways.,proverbs,,,,,,,4,24
,Usaba umwîzá mugasa.,Celui qui s'associe aux bons devient lui-même bon.,He who associates with the good becomes good himself.,proverbs,,,,,,,3,20
,Useka umubânyi ukavyūka músa.,Ce que tu moques aujourd'hui pourrait être ton propre reflet demain.,What you mock today may be your own reflection tomorrow.,proverbs,,,,,,,4,29
,"Ushâka kumenya urugero rwāwe rwó kwìíhāngāna, uratwāra Umwâna wāwe w'îmyâka itatu mu bugeni.","Si tu veux évaluer ton niveau de gentillesse, amène ton enfant de 3 ans à un mariage. ","If you want to gauge your kindness, bring your 3-year-old to a wedding. ",jokes,,,,,,,13,92
,"Ushīma kó ibīntu vyàázīmvye,..Kèéra twâgīye kuramutsa bā mâmá bàácu, bàárakubwîra nk'încúro icúmi ngo ""Ingo ufūngúre "" ukaguma wîyankīsha ugatīnda ukêmera,...","Pour comprendre à quel point les prix ont grimpé, imaginez ceci : Autrefois, quand nous rendions visite à nos tantes, elles nous répétaient mille fois de venir manger.","To grasp the extent of how prices have soared, consider this: Back in the day, when we visited our aunties, they'd insist a thousand times for us to come and eat. ",jokes,,,,,,,20,158
,Uta agatōngo ataco kakugíze kagatuma ku kăndi ngo urāmpōra.,Un traitement injuste peut pousser quelqu'un à chercher des alliés pour se venger.,Unjust treatment can lead someone to seek allies for vengeance.,proverbs,,,,,,,9,59
,Uta akarānga ukaba utâye ibānga.,"Perdre sa culture, c'est perdre son identité.",Losing culture means losing identity.,proverbs,,,,,,,5,32
