File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Ni warekera impuzu hanze mw ijoro zizoba zikanye,"Si vous laissez les vêtements dehors la nuit, ils seront humides",If you leave the clothes outside at night they will be damp,grammar,,,,,,,8,48
,Ni we yama aronderera impamba bashikibe biga kure.,C'est lui qui cherche toujours de quoi manger pour ses soeurs qui étudient loin.,He's the one who's always looking for something to eat for his sisters who study far away.,general,,,,,,,8,50
,Ni zo ngomba,Ce sont ceux que je veux,Those are the ones i want,grammar,,,,,,,3,12
,Nibagiye igiharuro kabanga canje.,J'ai oublié mon mot de passe.,I forgot my password.,general,,,,,,,4,33
,Nibagiye kugura amata,J'ai oublié d'acheter du lait.,I forgot to buy milk.,general,,,,,,,3,21
,Niga Ikoranabuhanga.,J'étudie l'informatique.,I study computer science.,general,,,,,,,2,20
,Niga ivy'ubuhinga bwa none.,J'étudie l'informatique.,I study computer science.,general,,,,,,,4,27
,Niga ubuhinga nyabwonko,J'étudie l'informatique.,I study computer science.,general,,,,,,,3,23
,Nigira mu makosa yanje.,J'apprends de mes erreurs.,I learn from my mistakes.,general,,,,,,,4,23
,Nigute bavuga iki mugifaransa,Comment dit-on cela en français?,How do you say this in French?,general,,,,,,,4,29
,Nihehe hari akaguriro k'Imiti aha hafi?,Où est la pharmacie la plus proche?,Where is the nearest pharmacy?,general,,,,,,,6,39
,Nihehe hari ikibanza co kwoga?,Où est la salle de bain?,Where is the bathroom?,general,,,,,,,5,30
,Nihehe waguriye iyi koti.,Où as-tu acheté cette veste?,Where did you buy this jacket?,general,,,,,,,4,25
,Niho nzoba ndi Isha z'ine z'agatondo,Je serai là à dix heures.,I'll be there at ten o'clock.,general,,,,,,,6,36
,Niho nzoba ndi isaha zine.,Je serai là à dix heures.,I'll be there at ten o'clock.,general,,,,,,,5,26
,Nikangira isaha zitandatu.,Je me réveille à six heures.,I wake up at six o'clock.,general,,,,,,,3,26
,Niki ukumbuye?,Qu'est-ce qui t'a manqué?,What did you miss?,general,,,,,,,2,14
,Nimuhamagare inyamiramabi!,Appelez la police!,Call the police!,general,,,,,,,2,26
,Ninde atanga ama karata.,Où est le distributeur de billets?,Where is the ATM?,general,,,,,,,4,24
,Nipfuza kuvugana hamwe n’umunyeshure.,Je veux parler avec l'étudiant.,I want to speak with the student.,general,,,,,,,4,37
,Niryari tuzongera kubonana ?,Quand nous reverrons-nous?,When will we see each other again?,general,,,,,,,4,28
,"Nitwa Rugwe, ndakunda imihwi.","Je m'appelle Rugwe , j'aime les bananes mûrs","My name is Rugwe, I like ripe bananas",general,,,,,,,4,29
,Nivyiza ku magara,C'est bon pour la santé.,It's good for your health.,general,,,,,,,3,17
,Niyihe ngingo ya mbere ya ivyigwa?,Quel est le premier point à l'ordre du jour?,What is the first item on the agenda?,general,,,,,,,6,34
,Niyihe reresi ukunda cane?,Quel est ton film préféré?,What is your favorite movie?,general,,,,,,,4,26
,Niyumva neza iki gitondo.,Je me sens mieux ce matin.,I feel better this morning.,general,,,,,,,4,25
,Nizera ko nzomubona kandi.,J'espère la revoir.,I hope to see her again.,general,,,,,,,4,26
,Nkaba ngarutse,Si seulement j'étais revenu,If only I had returned,grammar,,,,,,,2,14
,"Nkaca ntângura gufūngura
- Máze gutângura gufūngura, māwé agaca yôngerakó: ""iyâbá wîga cāne nkûkó ufūngúra uba urônka amanotá mēzá""
Abavyêyi b’ábarùúndi ní abā mbere núkurí .","Plus tard, alors que je commence à manger : Maman : ""Si seulement tu avais étudié aussi assidûment que tu dévores ce repas, tu aurais eu de bonnes notes."" Les mamans burundaises sont les meilleures."," Later, as I start to eat: - Mom: ""If only you had studied as diligently as you're devouring that meal, you would have received good grades."" Burundian moms are the best.",jokes,,,,,,,26,174
,Nkeneye Imiti.,J'ai besoin de médicaments.,I need medicine.,general,,,,,,,2,14
,Nkeneye ifu hamwe n'Isukari.,J'ai besoin de farine et de sucre.,I need flour and sugar.,general,,,,,,,4,28
,Nkeneye ko bantwara.,J'ai besoin qu'on m'emmène.,I need a ride.,general,,,,,,,3,20
,Nkeneye muganga,J'ai besoin d'un médecin.,I need a doctor.,general,,,,,,,2,15
,Nkeneye nyabwonko nshasha.,J'ai besoin d'un nouvel ordinateur.,I need a new computer.,general,,,,,,,3,26
,Nkeneye ubufasha.,J'ai besoin d'aide.,I need help.,general,,,,,,,2,17
,Nkir’ umwana nakora mu mirima imisi yose,"Quand j'étais enfant, j'ai toujours travaillé dans les jardins",While I was a child I always worked in the gardens,grammar,,,,,,,7,40
,Nkunda ibicuruzwa vyo mu gihugu cacu.,Je préfère les produits locaux.,I prefer local products.,general,,,,,,,6,37
,Nk’uko Dawidi na we yavuze,Comme David l'a également dit,As David also said,grammar,,,,,,,5,26
,"Nk’uko Kristo yazuwe mu bapfuye n’ubwiza bwa Data wa twese, abe ari ko natwe tugendana ubugingo busha","Comme Christ est ressuscité des morts par la gloire du Père, afin que nous puissions nous aussi marcher dans une vie nouvelle","As Christ was raised from the dead by the glory of the Father, that we also may walk in a new life",grammar,,,,,,,17,101
,Nk’uko mwaha imibiri yanyu ibiteye isoni ...abe ari ko na none muha ukugororoka imibiri yanyu,Tout comme vous avez livré votre corps à des choses honteuses... ainsi maintenant donnez votre corps à la justice.,Just as you gave your bodies to shameful things ... so now give your bodies to righteousness,grammar,,,,,,,15,93
,"Nk’ákarorero, iyó umenyé isáhàáni uca wûmva  ngo: ""Gēnda utōré n’ízìíndi zirí mukabàáti uzimené""
Twese turazi ico aba ashatse kukubwira"," Par exemple, après avoir cassé une assiette, ils pourraient dire :""Va en prendre d'autres et casse-les aussi.""
On sait tous ce qu'elle veux vraiment dire.","For instance, after breaking a glass, they might say:""Go and take others and break them too.""
We all know what they really meant.",jokes,,,,,,,19,135
,Noba ngiye,je serais parti,I would have gone,grammar,,,,,,,2,10
,Nobesha?,Est-ce que je mentirais ?,Would I tell a lie?,grammar,,,,,,,1,8
,Nobishobora?,Serais-je capable de le faire ?,Would I be able to do it?,grammar,,,,,,,1,12
,Nogiye kurima ariko simfise isuka,"Je serais allé voir une pute, mais je n'ai pas de pute","I would have gone to hoe, but i don’t have a hoe",grammar,,,,,,,5,33
,Nokunze kumubona ariko sinar’ i muhira,"J'aurais aimé le voir, mais je n'étais pas chez moi","I would like to have seen him, but I wasn‘t at home",grammar,,,,,,,6,38
,None bakimenye ata mwanya bagihaye,Est-ce qu’il ont progressé sans se donner du temps,Did they progress without giving themselves time?,general,,,,,,,5,34
,None boba babikuye hehe?,où pourraient-ils les obtenir?,where could they get them?,general,,,,,,,4,24
,None wewe ntubona ko batubeshe?,Est ce que toi tu vois pas qu'ils nous on menti ?,Don't you see that they lied to us?,general,,,,,,,5,31
,None wokunda igihugu utazi ivyaco gute?,Comment peut-on aimer le pays sans le connaître ?,How can you love the country without knowing it?,general,,,,,,,6,39
