File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Ndashaka ipiripiri imwe.,Je veux un piment.,I want one chilli.,vocabulary,,,,,,,3,24
,Ndashaka isake imwe.,Je veux un coq.,I want one rooster.,vocabulary,,,,,,,3,20
,Ndashaka ishu rimwe.,Je veux un chou.,I want one cabbage.,vocabulary,,,,,,,3,20
,Ndashaka itara rimwe.,Je veux un lampe.,I want one lamp.,vocabulary,,,,,,,3,21
,Ndashaka ivomo rimwe.,Je veux un robinet.,I want one tap.,vocabulary,,,,,,,3,21
,Ndashaka izuba rimwe.,Je veux un soleil.,I want one sun.,vocabulary,,,,,,,3,21
,Ndashaka kuvugana na Umunyeshure.,Je veux parler avec l'étudiant.,I want to speak with the student.,general,,,,,,,4,33
,Ndashaka ubushaza bumwe.,Je veux un petit pois.,I want one peas.,vocabulary,,,,,,,3,24
,Ndashaka umubu umwe.,Je veux un moustique.,I want one mosquito.,vocabulary,,,,,,,3,20
,Ndashaka umudari umwe.,Je veux un médaille.,I want one medal.,vocabulary,,,,,,,3,22
,Ndashaka umugeni.,Je veux un mariée.,I want one bride.,vocabulary,,,,,,,2,17
,Ndashaka umuhoro umwe.,Je veux un faucille.,I want one sickle.,vocabulary,,,,,,,3,22
,Ndashaka umupatiri umwe.,Je veux un prêtre.,I want one priest.,vocabulary,,,,,,,3,24
,Ndashaka umusigati umwe.,Je veux un canne à sucre.,I want one sugar cane.,vocabulary,,,,,,,3,24
,Ndashaka umutaka umwe.,Je veux un parapluie.,I want one umbrella.,vocabulary,,,,,,,3,22
,Ndashaka umutoto umwe.,Je veux un feuille de bananier.,I want one banana leaf.,vocabulary,,,,,,,3,22
,Ndashaka urugi rumwe.,Je veux un porte.,I want one door.,vocabulary,,,,,,,3,21
,Ndashaka ururimi rumwe.,Je veux un langue.,I want one tongue.,vocabulary,,,,,,,3,23
,Ndashashaye,Je suis excité,I am excited,emotions,,,,,,,1,11
,Ndashavuye,Je suis fâchée,I am angry,emotions,,,,,,,1,10
,Ndashigikiye cane y’uko Ikirundi gitezwa imbere,Je soutiens fortément le développement de l'Ikirundi,I strongly support the development of Ikirundi,general,,,,,,,6,47
,Ndashobora kuriha nkoresheje ikarata?,Puis-je payer par carte?,Can I pay by card?,general,,,,,,,4,37
,Ndashonje cane.,J'ai la dalle.,I have the slab.,general,,,,,,,2,15
,Ndatakaye.,Je suis perdu.,I'm lost.,general,,,,,,,1,10
,Ndatangaye,Je suis surprise,I am surprised,emotions,,,,,,,1,10
,Ndatekereje/Ndatekanye,Je suis calme,I am calm,emotions,,,,,,,1,22
,Ndatsitaye ndiko ndaza,J'ai trébuché en arrivant,I stumbled coming,grammar,,,,,,,3,22
,Ndavyemeye.,Je suis d'accord.,I agree.,general,,,,,,,1,11
,Ndavyibutse ubu,Je me souviens maintenant.,I remember now.,general,,,,,,,2,15
,Ndavyibutse ubunyene.,Je me souviens maintenant.,I remember now.,general,,,,,,,2,21
,Ndaza kugikosara ubunyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,general,,,,,,,3,26
,Ndazanye ivyo kugira ngo mvyandike,J'ai apporté ces choses pour l'écrire,I brought those things in order to write it,grammar,,,,,,,5,34
,Ndazi akazi kanje.,Je connais mon travail.,I know my job.,general,,,,,,,3,18
,Ndazi ivyanyu yuko mwuzuye ineza,Je sais pour toi à quel point tu es rempli de gentillesse,I know about you how you are filled with kindness,grammar,,,,,,,5,32
,Ndazi yuko udashobora kwirengagiza ababi,Je sais que tu ne peux pas supporter les méchants,I know that you cannot bear the evil ones,grammar,,,,,,,5,40
,Ndeka mpa amahoro.,Laisse-moi tranquille.,Leave me alone.,general,,,,,,,3,18
,Ndemeje iki ciyumviro.,Je suis d'accord avec cette proposition.,I agree with this proposition.,general,,,,,,,3,22
,Ndi gukora,je suis en train de travailler,I am working,grammar,,,,,,,2,10
,Ndi jenyene.,Je suis seul,I am alone,general,,,,,,,2,12
,Ndi mu biruhuko.,Je suis en vacances.,I'm on vacation.,general,,,,,,,3,16
,Ndi mu rukundo,Je suis tombé amoureux.,I fell in love.,general,,,,,,,3,14
,Ndi umugabo ní ko gupfá.,L'orgueil précède la chute.,Pride comes before a fall.,proverbs,,,,,,,5,24
,Ndi umugabo.,Je suis un homme.,I am a man.,general,,,,,,,2,12
,Ndi umunyeshure.,Je suis étudiant.,I am a student.,general,,,,,,,2,16
,Ndibaza nzomubona.,J'espère la revoir.,I hope to see her again.,general,,,,,,,2,18
,Ndibube mpita,je passerai par là,I shall pass by,grammar,,,,,,,2,13
,Ndibuka ubufasha bwawe.,Je suis reconnaissant pour votre aide.,I am grateful for your help.,general,,,,,,,3,23
,Ndiga ikirundi,J'apprends le kirundi.,I am learning Kirundi.,general,,,,,,,2,14
,Ndigira ku makosa yanje.,J'apprends de mes erreurs.,I learn from my mistakes.,general,,,,,,,4,24
,Ndihereza akayi.,Je prends mon petit-déjeuner.,I have breakfast.,general,,,,,,,2,16
,Ndiko Ndondera Inzu y'uburiro.,Je cherche un restaurant.,I am looking for a restaurant.,general,,,,,,,4,30
,Ndiko ndadigadiga,Je suis en train de chatouiller,I am tickling,action-verbs,,,,,,,2,17
,Ndiko ndafata imfunguro yomu gitondo,Je prends mon petit-déjeuner.,I have breakfast.,general,,,,,,,5,36
,Ndiko ndafata imfungurwa zo mugitondo.,Je prends mon petit-déjeuner.,I have breakfast.,general,,,,,,,5,38
