File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,"Mwoshobora gusubiramwo, ndabasavye?","Pouvez-vous répéter, s'il vous plaît?","Can you repeat, please?",general,,,,,,,3,35
,"Mwoshobora kunfasha, ndabasavye?","Pouvez-vous m'aider, s'il vous plaît?","Can you help me, please?",general,,,,,,,3,32
,Mwoye gutinya,N'ayez pas peur !,Don’t be afraid!,grammar,,,,,,,2,13
,Mwàáhūriye hé ?, Où vous êtes-vous rencontrés ? ,Where did you bump into each other? ,jokes,,,,,,,3,15
,Mwāramutse ntákūrá akăramutse ku mutíma.,Offrir un bonjour ne dissipe pas les fardeaux portés depuis hier.,Offering a good morning doesn't dispel the burdens carried from yesterday.,proverbs,,,,,,,5,40
,Mwěne nāká yōkuzirika ku cătsi.,"Un adversaire inconnu exige de la prudence, il pourrait émerger victorieux si vous choisissez de le confronter.","An unknown adversary demands caution, they might emerge victorious if you choose to confront them.",proverbs,,,,,,,5,31
,Māmá yashize umukâté ku mêzá nca ndawúrya.,"Ma mère a laissé du pain sur la table, et je l'ai mangé.","My mom left a bread on the table, and as soon as she left, I immediately jumped on it and ate it.",jokes,,,,,,,7,42
,"Māwé Māwé Māwé 
- Mu bufaràánsa :ēgó kibôndo cānje
- Mu Burùúndi : Utárīnze gukóma indûrú usâmirana umutùúmba wöse ntā mahóro wūmvá ?","Maman, maman, maman !!!
- En France : Oui, mon cher.
- Au Burundi :Si tu ne cries pas mon nom partout, est-ce que tu ne ressens pas la paix ?","Mom, mom, mom!!!
- In France: Yes, my love.
- In Burundi: If you're not shouting my name everywhere, don't you find peace??",jokes,,,,,,,23,133
,Māwé igihe narí mfíse imyâka 10: Zana aryá maherá nyokórume wāwe yaguhàáye  ndayakúbīkire nzōyaguha níwayakenéra.,"Quand j'avais 10 ans, ma mère disait : ""Apporte cet argent que ton oncle t'a donné ; je te le rendrai quand tu en auras besoin.""  ","When I was 10 years old, my mom was like: ""Bring that money your uncle gave you; I'll give it back to you when you need it.""  ",jokes,,,,,,,15,113
,Mū nda haba umutíma ntíhabá umutsíma.,"C'est le cœur, et non l'estomac, qui définit vraiment une personne.","It's the heart, not the stomach, that truly defines a person.",proverbs,,,,,,,6,37
,Mū nda harāra inzara hakavyūka inzigo.,Un homme affamé est un homme en colère.,A hungry man is an angry man.,proverbs,,,,,,,6,38
,N'iciyumviro ciza,C'est une bonne idée.,It's a good idea.,general,,,,,,,2,17
,N'ikirimi kigoye,C'est une langue difficile.,It's a difficult language.,general,,,,,,,2,16
,N'inkuru nziza y'urukundo.,C'est une belle histoire d'amour.,It's a beautiful love story.,general,,,,,,,3,26
clips/sound_proverb/prov013.mp3,N'iritagira inkoko riraca,Une nuit sans coqs se terminera quand même.,A night without roosters will still end.,proverbs,,,,,,,3,25
,N'ubúsa burazirwa.,L'injustice fait trébucher les innocents.,Injustice causes the innocent to stumble.,proverbs,,,,,,,2,18
,N'umugenzi wanje(umukobwa),Elle est mon amie.,She is my friend.,general,,,,,,,2,26
,N'úburí ku munwa burakoroka.,Même l'arbre le plus haut peut être abattu par le vent.,Even the tallest tree can be brought down by the wind.,proverbs,,,,,,,4,28
,N'úwutáco avuzé aba avúze.,Le silence est plus éloquent que les mots.,Silence speaks louder than words.,proverbs,,,,,,,4,26
,N'ūwó kwàá nde ?,Qui sont ses parents ? , Who are his parents? ,jokes,,,,,,,4,16
,Na Bucangênda yapfûye atágīyé.,Celui qui annonce est moins susceptible d'agir.,The one who announces is less likely to perform.,proverbs,,,,,,,4,30
,Na kare abasokuru barayamaze ngo “ntamwuga udakiza”,Nos ancêtres disaient un jour : « il n’y a pas de métier qui ne guérisse pas ».,Our ancestors once said: “there is no profession that does not heal”.,general,,,,,,,7,51
,Na rwo nyene ndarugomba,Et ça aussi je le veux,And it too I want it,grammar,,,,,,,4,23
,"Na we arababwira, ati",et il leur a dit,and he told them,grammar,,,,,,,4,21
,"Na yo akwiriye gusubira gutunganywa, kuko yarafasha","Il devrait être reconsidéré, car il aide","It should be reconsidered, because it helps",general,,,,,,,7,51
,Naba nkirorereye abandi,J'attendais toujours les autres,I was still waiting for the others,grammar,,,,,,,3,23
,Nabaza ko arivyo,Je pense que oui.,I think so.,general,,,,,,,3,16
,Nabigishije kutavuga gurtyo,Je t'ai appris à ne pas parler comme ça,I taught you not to speak like that,grammar,,,,,,,3,27
,Nabikubwiye ubugira kane,Je te l'ai dit la quatrième fois,I told you the fourth time,grammar,,,,,,,3,24
,Nabonye akadede keza,J'ai vu une jolie perle,I saw a beautiful pearls,vocabulary,,,,,,,3,20
,Nabonye amaraso menshi,J'ai vu beaucoup de sang.,I saw so much blood.,vocabulary,,,,,,,3,22
,Nabonye amashurwe amwe n’aya,J'ai vu des fleurs identiques à celles-ci,I saw some flowers the same as these,grammar,,,,,,,4,28
,Nabonye ibakure nziza.,J'ai vu un beau bol.,I saw a beautiful bowl.,vocabulary,,,,,,,3,22
