File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Uwutágirá ubwôba aba atágirá ubwênge.,Un cœur sans peur peut conduire à des actions insensées.,A fearless heart can lead to foolish actions.,proverbs,,,,,,,5,37
,Uwutágiríwe n'Îmâna ntíyīgírira.,Ce qui n'est pas donné par Dieu ne peut être acquis par l'homme.,What is not given by God cannot be gained by man.,proverbs,,,,,,,3,32
,Uwutáharí asa n'úwapfûye.,Une âme absente semble être un souvenir lointain.,An absent soul feels like a distant memory.,proverbs,,,,,,,3,25
,Uwutárahéra aba arahékenya.,Être en vie est une raison de savourer la vie.,Being alive is a reason to savor life.,proverbs,,,,,,,3,27
,Uwutári bukuvúne yōkuva inyuma.,Celui qui retient l'aide ne peut être compté comme un ami fidèle.,He who withholds help cannot be counted as a faithful friend.,proverbs,,,,,,,4,31
,Uwutárihό azigamirwa n'úmuryāngo.,Ce n'est qu'à l'ombre de l'absence que les piliers de la loyauté se dressent haut.,Only in the shadow of absence do the pillars of loyalty stand tall.,proverbs,,,,,,,3,33
,Uwutárābóna ntávugá.,"Si vous ne l'avez pas vu, n'en parlez pas.","If you haven't witnessed it, don't speak of it.",proverbs,,,,,,,2,20
,Uwutárāgēnda yīta umwâna Nzirakugēnda.,Les inexpérimentés sous-estiment souvent les capacités des autres.,The inexperienced often underestimate the abilities of others.,proverbs,,,,,,,4,38
,Uwutárāpfá aba akírihό.,"Celui qui est vivant, a de l'espoir.","He who is alive, has hope.",proverbs,,,,,,,3,23
,Uwutárĭbwa ntárīndá.,L'adversité est la forge de la force.,Adversity is the forge of strength.,proverbs,,,,,,,2,20
,Uwutânga nêzá atānga kabiri.,"Quand tu donnes avec gentillesse, tu donnes deux fois.","When you give with kindness, you give twice.",proverbs,,,,,,,4,28
,Uwutâzí Uburŭndi aburūndwámwo.,"Sans connaissance du Burundi, on s'aventurerait à l'aveuglette.","Without knowledge of Burundi, one would venture blindly.",proverbs,,,,,,,3,30
