File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,"Narakunda abanyeshure, nabo bakankunda",J'aimais les élèves et ils m'aimaient,I loved the students and they loved me,general,,,,,,,4,38
,Nari ndwaye,J'étais malade,I was sick,grammar,,,,,,,2,11
,Nari nsangwe ndabizi utarabimbwira,Je le savais avant que tu me le dises,I had known it before you told me,grammar,,,,,,,4,34
,Nari nshaka agakawa.,Je voudrais un café.,I would like a coffee.,general,,,,,,,3,20
,Nariko ndakora,Je travaillais.,I was working.,grammar,,,,,,,2,14
,Nashaka agakawa.,Je voudrais un café.,I would like a coffee.,general,,,,,,,2,16
,Natakaje igitabo c'inzira.,J'ai perdu mon passeport.,I lost my passport.,general,,,,,,,3,26
,Natangiriwe n'imodoka zabuze aho zica.,Je suis coincé dans les embouteillages.,I'm stuck in traffic.,general,,,,,,,5,38
,Nataye igitabo c'inzira.,J'ai perdu mon passeport.,I lost my passport.,general,,,,,,,3,24
,Nataye ikibika mpapuro canje.,J'ai perdu mon portefeuille.,I lost my wallet.,general,,,,,,,4,29
,Natoye inyishu.,J'ai trouvé la solution.,I found the solution.,general,,,,,,,2,15
,Navyutse isaha cumi na zibiri,Je me réveille à six heures.,I wake up at six o'clock.,general,,,,,,,5,29
,Nca nkuzanira ivyo bitabo,Je t'apporterai ces livres immédiatement,I will bring you those books at once,grammar,,,,,,,4,25
,Ncé mbóna yūguruje ikiyêri amênyo,"Soudain, je la vois ouvrir une bière avec ses dents.",Then I saw her opening a beer with her teeth,jokes,,,,,,,5,33
,Nda nshonje ubu,J'ai faim maintenant.,I'm hungry now.,general,,,,,,,3,15
,Ndabahamagare?,Dois-je les appeler ?,Shall I call them?,grammar,,,,,,,1,14
,Ndabakunda cane.,Je vous aime beaucoup.,I love you very much.,general,,,,,,,2,16
,Ndabashimira kubufasha bwanyu.,Je suis reconnaissant pour votre aide.,I am grateful for your help.,general,,,,,,,3,30
,"Ndabihejeje, aca antuma gusoroma ibijumbu. Mpitana isuka n’igitemere, mfata akayira.","Après avoir terminé, il m'a envoyé récolter les patates douces. J'ai pris la houe et le panier, pris le chemin.","After he finished, he sent me out to harvest the sweet potatoes. I took the hoe and the basket, took the path.",general,,,,,,,10,84
,Ndabipfuriza imigisha myinshi.,Je leur souhaite beaucoup de bonheur.,I wish them lots of happiness.,general,,,,,,,3,30
,Ndabirīnze yagûye mu mirīnzi.,Trop de protection peut mener à la chute.,Too much protection can lead to one's downfall.,proverbs,,,,,,,4,29
