File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Ntā wusângira n'ûmwôro umwērēra.,Une coupe de générosité peut ne pas atteindre les pauvres.,A cup of generosity may not reach the poor.,proverbs,,,,,,,4,32
,Ntā wusíga inká mw'īgabiro.,Ne laissez jamais un cadeau entre les mains du donneur.,Never leave a gift in the hands of the giver.,proverbs,,,,,,,4,27
,Ntā wusîmba agasîndé.,Un petit paquet maudit sur votre chemin est insurmontable.,A small cursed parcel in your way is insurmountable.,proverbs,,,,,,,3,21
,Ntā wutânga Imâna kwĭhebūra.,On ne doit pas désespérer devant Dieu.,One should not desperate before God.,proverbs,,,,,,,4,28
,Ntā wutânga icό adafisé.,On ne peut pas donner ce qu'on n'a pas.,You can't give what you don't have.,proverbs,,,,,,,4,24
,Ntā wutêra atêngase.,Personne ne laboure la terre avec un fardeau sur la tête.,No one tills the land with a burden on their head.,proverbs,,,,,,,3,20
,Ntā wutêra ibuye ahó yatéretse igisābo.,"Là où il y a quelque chose de précieux, le chaos est évité.","Where there is something valuable, chaos is avoided.",proverbs,,,,,,,6,39
,Ntā wutîza urūgi imfyísi zâtêye.,"Lorsque des menaces sont présentes, la porte ne peut être empruntée.","When threats are present, the door cannot be borrowed.",proverbs,,,,,,,5,32
,Ntā wutîza.,Personne ne prête.,No one lends.,proverbs,,,,,,,2,11
,Ntā wutûnga izó adashītúra.,Prenez toujours soin de ce qui est à vous.,Always take care of what is yours.,proverbs,,,,,,,4,27
,Ntā wutûra ngo atūrwé hāsí.,Un invité avec des cadeaux est accueilli à bras ouverts.,A guest with gifts is greeted with open arms.,proverbs,,,,,,,5,27
,Ntā wuvûka rimwé ngo yūzúre ingovyi.,Rome ne s'est pas construite en un jour.,Rome wasn't built in a day.,proverbs,,,,,,,6,36
,Ntā wuzíbira inzira y'Úburŭndi.,"Comme une graine grandissant vers le soleil, l'évolution de quelqu'un ne connaît pas de limites.","Like a seed growing towards the sun, one's evolution knows no bounds.",proverbs,,,,,,,4,31
,Ntā wuzíbira umurômbero inká zígitāha.,Ne freinez pas le progrès lorsque les opportunités se présentent.,Don't hinder progress when opportunities arise.,proverbs,,,,,,,5,38
,Ntā wúca urubănza atūmvīse.,Un jugement juste nécessite une écoute attentive des deux côtés.,A just judgment requires attentive ears to hear both sides.,proverbs,,,,,,,4,27
