File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,"Mbega wakoze ivyo? Oya, nyabuna!","As-tu fait ça ? Non, je devrais dire non !","Did you do that? No, I should say not!",grammar,,,,,,,5,32
,"Mbega wazanye ibitabo vyose, ukw ari bitanu?",Avez-vous apporté les cinq livres ?,Did you bring all five books?,grammar,,,,,,,7,44
,Mbega wumvise ivy'amashuri?,Avez-vous entendu parler des écoles ?,Did you hear about the schools?,grammar,,,,,,,3,27
,"Mbibonye, naciye mpamagara umuganga","Après l'avoir vu, j'ai immédiatement appelé le médecin","Having seen it, I immediately called the doctor",grammar,,,,,,,4,35
,Mbwirizwa kugura umukate.,Je dois acheter du pain.,I have to buy bread.,general,,,,,,,3,25
,Meditasiyo irafasha kuruhuka no kwiyumvirako.,La méditation aide à se détendre.,Meditation helps you relax.,general,,,,,,,5,45
,Mfise abahungu babiri tuvukana.,J'ai deux frères.,I have two brothers.,general,,,,,,,4,31
,Mfise abavukanyi babiri,J'ai deux frères.,I have two brothers.,general,,,,,,,3,23
,Mfise basaza banje babiri.,J'ai deux frères.,I have two brothers.,general,,,,,,,4,26
,Mfise basazanje babiri,J'ai deux frères.,I have two brothers.,general,,,,,,,3,22
,Mfise imyaka mirongo ibiri.,J'ai vingt ans.,I am twenty years old.,general,,,,,,,4,27
,Mfise itiro,J'ai sommeil.,I'm sleepy.,general,,,,,,,2,11
,Mfise ubwoba,Je suis effrayé,I am afraid,emotions,,,,,,,2,12
,Micheli yari yaragiye i Bugande ntaragenda iwabo,Michel était parti en Ouganda avant que j'aille chez eux,Michel had gone to Uganda before I went to their place,grammar,,,,,,,7,48
,Minani ni mwene Yohana,Minani est le fils de John,Minani is John’s son,grammar,,,,,,,4,22
,Minani ntazi ubwenge nka Gahungu,Minani est moins intelligent que Gahungu,Minani is less intelligent than Gahungu,grammar,,,,,,,5,32
,Mpa nūmvé yĭshwe n'úmuráhu.,Celui qui se délecte de chaque plat peut en trouver un mortel.,The one who indulges in every dish may find a deadly one.,proverbs,,,,,,,4,27
,"Mpejeje kwīshuza māwé amaherá namúgurānye, aca ambwīra ngo mbānze nàánje ndamwìíshure ivyó kuryá vyöse yangáburiye kuva mvûka.","Je viens de demander à ma mère de me rembourser l'argent que je lui ai prêté, devinez sa réponse ! Elle m'a demandé de d'abord lui rembourser également toutes les choses qu'elle m'a données depuis ma naissance.","I just asked my mom to repay the money I lent her, and guess what? She responded by requesting me to first reimburse her for everything she's given me since I was born.",jokes,,,,,,,17,126
,Mpitamwo gutambuka nihuta.,Je préfère la marche rapide.,I prefer brisk walking.,general,,,,,,,3,26
,Mpitamwo umuceri mu kibanza c'Ubugari.,Je préfère le riz au lieu des pâtes.,I prefer rice instead of pasta.,general,,,,,,,5,38
,Mpora ntangura akazi isaha zibiri,Je commence toujours à travailler à 8h00,I always start work at 8:00,grammar,,,,,,,5,33
,Mpora nâduka nkatwēnga iyó nībútse ukūntu túkiri abâna bàáduhamagara ngo dutāmbíre abashitsi,"Je me tords de rire à chaque fois que je me souviens de notre enfance, quand on nous appelait pour faire une danse pour les visiteurs.",I burst into laughter every time I recall the days of our childhood when they summoned us to perform a dance routine for the visitors.,jokes,,,,,,,12,92
,Mpūngé urw'ăha yakímajije amaguru.,Celui qui fuit les ennuis continue de courir.,He who flees from troubles keeps on running.,proverbs,,,,,,,4,34
,"Mu Burùúndi bákubwīye kó mupfāná ikīntu n'úmūntu murí mu kigero kimwé , icó mwōbá múpfāna cöse, ubwo nyéne muca múhīnduka abavyâra.","Au Burundi, si on te dit que tu es lié à quelqu'un, et que cette personne est dans la même tranche d'âge que toi, vous devenez automatiquement cousins, peu importe la nature réelle du lien","In Burundi, if they tell you that you are related to someone, and that someone is in the same age group as you, you automatically become cousins, no matter what actually connects you.",jokes,,,,,,,21,131
