File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Ivy'ějo bibonwa n'Îmâna.,Demain est connu de Dieu.,Tomorrow is known by God.,proverbs,,,,,,,3,24
clips/sound_proverb/prov015.mp3,Ivyagusa bitera ubwenge buke.,Les choses gratuites diminuent l'intelligence.,Free things decrease one's intelligence.,proverbs,,,,,,,4,29
,Ivyamwa n'Imboga biraryoshe.,Les fruits et légumes sont frais.,The fruits and vegetables are fresh.,general,,,,,,,3,28
,"Ivyanditswe ntivyobuze gushika, ivyo Mpwemu Mweranda yari yaravugiye mu kanwa ka Dawidi","Les Écritures ne pouvaient manquer de s'accomplir, ce que le Saint-Esprit avait annoncé par la bouche de David.","The Scriptures could not fail to be fulfilled, that which the Holy Spirit had spoken by the mouth of David",grammar,,,,,,,12,87
,Ivyatsi biba bikakaye vyumye.,Les herbes deviennent raides une fois sèches.,Herbs become stiff when dry.,general,,,,,,,4,29
,Ivyigwa vy’ubumenyi abandi babikoresha mu ndimi zabo,Des leçons de connaissances que d’autres utilisent dans leur propre langue,Knowledge lessons that others use in their own language,general,,,,,,,7,52
,Ivyirwa bikuru bikuru bakurikira ni ibi,Les principaux arrière-plans du prochain sont ,The main backgrounds of the next one are,general,,,,,,,7,42
,Ivyiwe bitabo,ses propres livres,his own books,grammar,,,,,,,2,13
,Ivyo babivuga gute mu gifaransa?,Comment dit-on cela en français?,How do you say this in French?,general,,,,,,,5,32
,Ivyo bitabo ni ivyanje,Ces livres sont à moi,Those books are mine,grammar,,,,,,,4,22
,Ivyo kurya mw ijoro vyatunganye.,Le dîner est prêt.,Dinner is ready.,general,,,,,,,5,32
,Ivyo mwijoro birateguye.,Le dîner est prêt.,Dinner is ready.,general,,,,,,,3,24
,Ivyâra ntírigōrá nk'írera.,"Donner naissance est facile, élever l'enfant est le vrai test.","Giving birth is easy, raising the child is the real test.",proverbs,,,,,,,3,26
,Ivyā gusa bitēra ubwênge buké.,Ce qui est gratuit rend fou si l'on veut en profiter à plusieurs reprises.,What is free makes one foolish if they want to take advantage of it repeatedly.,proverbs,,,,,,,5,30
,Ivyănse mu mashí bija mu migére.,"Si le plan échoue, changez de direction et trouvez une nouvelle approche.","If the plan fails, pivot and find a new approach.",proverbs,,,,,,,6,32
,Iwanyu ni he?,C'est où chez toi?,Where is your home?,general,,,,,,,3,13
,"Iyaba Yosuwa yarabaruhuye, ntiba yaravuze ubwa nyuma ivy’uwundi musi","Si Josué leur avait donné du repos, il n'aurait pas parlé ensuite d'un autre jour","If Joshua had given them rest, he would not have spoken afterward of another day",grammar,,,,,,,10,69
,Iyaba nanyoye umuti mba nkize,"Si j'avais bu le médicament, je me serais rétabli","If I had drunk the medicine, I would have gotten well",grammar,,,,,,,5,29
