File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
clips/sound_humour/h42.mp3,Ikinyugunyugu gitwawe n'umuyaga ngo nari bwabe umwami ntararerurwa!,"""Sans avoir déjà été porté dans une litière je n'aurais pas été un roi légitime"", comme disait le papillon emporté par le vent !","""Without having already been worn in litter I would not have been a legitimate king,"" as the butterfly carried away by the wind said!",jokes,,,,,,,8,67
,Ikinyóma cûmvīse ukúri kimena urūgi.,"Quand la vérité approche, les mensonges prennent la fuite.","When truth approaches, lies make their exit.",proverbs,,,,,,,5,36
,Ikinyóma cā nyéne urugó bagiha intébe kikīcaráko.,Le mensonge du chef de famille passe comme une lettre à la poste.,The lie of the head of the family passes like a letter in the mai.,proverbs,,,,,,,7,49
,Ikinyóma cīca nyené co.,Un mensonge charge le menteur de conséquences.,A lie burdens the liar with consequences.,proverbs,,,,,,,4,23
,Ikinyóma kimara umŭsi ntíkimará umwâka.,"Un mensonge peut voyager loin, mais la vérité finira par le rattraper.","A lie may travel far, but the truth will catch up to it eventually.",proverbs,,,,,,,5,39
,Ikinyóma kirasôsa ntígihāzá.,"Les mensonges peuvent avoir un goût doux, mais la vérité est irremplaçable.","Lies may taste sweet, but truth is irreplaceable.",proverbs,,,,,,,3,28
,Ikirundi gifise ikibanza ikihe uno musi,Quelle place occupe le kirundi aujourd'hui ?,What place does Kirundi occupy today?,general,,,,,,,6,39
,"Ikirundi kirambeshejeho, jewe n’abanje","Le Kirundi m'aides à subvenir à mes besoins,moi et ma famille .",Kirundi helps me provide for myself and my family.,general,,,,,,,4,38
,Ikirundi ni ururimi ruri mu ndimi zo muri afrika bantu,Le Kirundi est l'une des langues africaines,Kirundi is one of the African languages,general,,,,,,,10,54
,Ikirwa c'úmwămi ugiherūka ukícūbaka.,"Le privilège de voir le palais du roi est accordé à ceux qui le construisent, mais c'est la seule et unique fois.","The privilege to witness the king's palace is granted to those who build it, but that is the only and unique time.",proverbs,,,,,,,4,36
,Ikirémēra umutwé sí co kiremêra umutíma.,À chacun son fardeau.,To each his own burden.,proverbs,,,,,,,6,40
