File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Bose bari mu mutekano.,Tout le monde est en sécurité.,Everyone is safe.,general,,,,,,,4,22
,Bose ukw'ari babiri barafise impano.,Ils sont tous les deux très talentueux.,They are both very talented.,general,,,,,,,5,36
,Bujumbura ni umurwa mukuru w'uburundi muvyerekeye Ubutunzi inyuma y'aho Gitega ibaye umurwa mukuru wa politike,"Bujumbura est la capitale économique du Burundi, depuis que Gitega est devenue la capitale politique","Bujumbura is the economic capital of Burundi, since Gitega became the political capital",general,,,,Samandari,24.0,Male,15,110
,Bukêbuké bukomeza igihonyi.,"Pas à pas, on progresse.","Step by step, progress is made.",proverbs,,,,,,,3,27
,Bukêbuké bushikana umusíba ku mugezi.,Rome ne s'est pas construite en un jour.,Rome wasn't built in a day.,proverbs,,,,,,,5,37
,Bukêbuké ni rwó rugēndo.,"Pas à pas, le voyage se termine.","Step by step, the journey is completed.",proverbs,,,,,,,4,24
,Buraruhura cane.,C'est très relaxant.,It's very relaxing.,general,,,,,,,2,16
,Buri kantu gato gafise akamaro.,Chaque petit geste compte.,Every little gesture counts.,general,,,,,,,5,31
clips/sound_proverb/prov012.mp3,Burira ntibutera ku mpeshi.,La nuit ne dure qu'à la belle saison.,The night does not last until the good season.,proverbs,,,,,,,4,27
,Bururi ni intara yo mu bumanuko bw'igihugu c'Uburundi,Bururi est une province du sud du pays du Burundi,Bururi is a province in the south of the country of Burundi,general,,,,,,,8,53
,Burya ikirundi si ururimi gusa,Le Kirundi n'est pas seulement qu'une langue,Kirundi is not just a language,general,,,,,,,5,30
,"Buzoca, mugire muti: Iyo bwira!",Le matin tu diras : Si seulement il faisait nuit !,In the morning you will say: If only it were night!,grammar,,,,,,,5,32
,Bwakeye ga Bwana!,Bonjour Monsieur!,"Good morning, Sir!",grammar,,,,,,,3,17
,Bwākêye ntíbuzá uwukwânka.,Saluer un ennemi ne fait pas fondre son cœur.,Offering greetings to a foe doesn't melt their heart.,proverbs,,,,,,,4,37
,"Bágīye kugura ikīntu, umudàándaza arashóbora kubábwīra ibihumbi mirongo itanu, nabó bakamuha ibihūmbi bitatu, kàándi báshimitse.","Quand elles vont acheter quelque chose et que le vendeur annonce le prix à cinquante mille, elles n'hésitent pas à négocier jusqu'à cinq mille. Et elles peuvent être tout à fait sérieuses à ce sujet.","When they go to buy something and the seller quotes the price as fifty thousand, they confidently negotiate it down to five thousand. And they can be dead serious about it.",jokes,,,,,,,13,115
,"Bèénshi bákiri abâna, hari ijāmbo ryàábakūramwó umutíma
Māwé: Impa yâ maherá wagárukana ejó kw'ībútìíke.","Il y a une phrase de l'enfance qui donne encore des frissons.""
Maman : ""Remets l'argent qui reste de la mission d'épicerie d'hier.""","There's a sentence from childhood that still sends shivers down the spine.
Mom: ""Hand over the leftover cash from yesterday's grocery mission.""",jokes,,,,,,,14,104
,Bā Bwênge bări babiri umwé arapfá.,"Deux esprits astucieux ont commencé le voyage, mais un seul est parti.","Two clever minds started the journey, but only one left.",proverbs,,,,,,,6,34
