File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Imâna irarema ntítōránya.,"Dieu est le créateur, Il ne favorise personne par rapport à une autre.","God is the creator, He does not favor one over another.",proverbs,,,,,,,3,25
,Imâna iratânga aríko ntíyībágira guhena.,"Dieu ferme une porte, mais ouvre une fenêtre.","God closes a door, but opens a window.",proverbs,,,,,,,5,40
,Imâna iruta ingabo.,La force de Dieu dépasse celle des guerriers les plus puissants.,God's strength surpasses that of the mightiest warriors.,proverbs,,,,,,,3,19
,Imâna itānga ishâka.,Dieu pourvoit à Sa création comme Il le juge bon.,God provides for His creation as He deems fit.,proverbs,,,,,,,3,20
,Imâna itāngira mw'ītíro.,Dans l'inattendu se cache le trésor des bénédictions.,In the unexpected lies the hidden treasure of blessings.,proverbs,,,,,,,3,24
,Imâna ntîbá kabiri.,Le visage de Dieu brille d'une seule face de bonté sans limite.,God's countenance shines with a single face of boundless kindness.,proverbs,,,,,,,3,19
,Imâna ntîhá uwĭcaye.,Les paresseux ne reçoivent pas de faveurs divines.,The lazy do not receive divine favors.,proverbs,,,,,,,3,20
,Imâna ntîhá uwĭruka.,Les bénédictions de Dieu viennent à ceux qui ont la patience d'attendre.,God's blessings come to those who have the patience to wait.,proverbs,,,,,,,3,20
,Imâna ntîhá uwĭsīze.,Faire semblant ne vous vaudra pas les bénédictions de Dieu.,Faking won't earn you God's blessings.,proverbs,,,,,,,3,20
,Imâna ntîhá uwĭtāngira itáma.,"La main de Dieu récompense les généreux, non les avares..","The hand of God rewards the generous, not the greedy.",proverbs,,,,,,,4,29
,Imâna y'ûmwôro imurābīsha umugôngo.,Le silence de Dieu est souvent la réponse aux prières des malheureux.,God's silence is often the reply to the prayers of the wretched.,proverbs,,,,,,,4,35
,Imâna ya mwêne só si yó ya mwêne nyoko.,Les bénédictions des autres ne sont pas les mêmes que les vôtres.,The blessings of others are not the same as yours.,proverbs,,,,,,,9,39
,Imānga ntímaríra Imâna.,"La mort peut emporter des individus, mais l'esprit collectif perdure..","Death may take individuals, but the collective spirit endures.",proverbs,,,,,,,3,23
,Imĭsi irasa ntingána.,Chaque jour est unique à sa manière.,Each day is unique in its own way.,proverbs,,,,,,,3,21
clips/sound_humour/h12.mp3,Inabigirankana ataye ikibuno ku ziko ati ibibanza vyaduhindutse!,"""Nos emplacements sont d'humeur changeante"", comme disait l'entêté déchu, le seant dans le foyer !","""Our locations are in a changing mood"", as the fallen stubborn said, the seant in the hearth!",jokes,,,,,,,8,64
clips/sound_humour/h17.mp3,"Inabigirankana bamurashe umwampi wo mu gikomere ati niko ibwami bahakunda, hari uturorero!","""C'est donc pour ça que la cour royale a autant de succès : il y a des choses agréables à voir"", dit la Mégère blessée par une flèche dans son ulcère !","""So that's why the royal court is so successful: there are pleasant things to see,"" said the Shrew wounded by an arrow in her ulcer!",jokes,,,,,,,12,90
,Inabukwe wa Simoni yari aryamye,La belle-mère de Simon était allongée,Simon’s mother-in-law was lying down,grammar,,,,,,,5,31
clips/sound_proverb/prov014.mp3,Inahasi y'umutindi yamubujije kwiyahura.,L’espoir du malchanceux l’a empêché de se suicider.,The unlucky man’s hope prevented him from committing suicide.,proverbs,,,,,,,4,40
,Inama iza kuba isaha zingahe?,À quelle heure est la réunion?,What time is the meeting?,general,,,,,,,5,29
,Inama yakuweho.,La réunion a été annulée.,The meeting was canceled.,general,,,,,,,2,15
,Inama yasibishijwe.,La réunion a été annulée.,The meeting was canceled.,general,,,,,,,2,19
,Inama yimuwe izoba ejo.,La réunion est reportée à demain.,The meeting is postponed until tomorrow.,general,,,,,,,4,23
,Inama yungururijwe ejo.,La réunion est reportée à demain.,The meeting is postponed until tomorrow.,general,,,,,,,3,23
,Inankuki: Ewe ntuze ako gahuzu wambaye ni keza.Ukavanye mw’iduka ubu nyene ?,Inankuki:Que c'est jolie l'habit que tu portes. le sort-tu tout de suite de magasin ?,Inankuki:How pretty the outfit you are wearing. Do you take it out of the store straight away?,general,,,,,,,12,76
,Incúti iragúherekeza.,Un vrai ami te soutient.,A real friend supports you.,proverbs,,,,,,,2,21
,Inda iremēra irí gusa.,Une faim extrême pèse lourdement sur l'estomac.,Extreme hunger weighs heavily on the stomach.,proverbs,,,,,,,4,22
,Inda ndēnde ihūmira indyá.,La cupidité engendre des ennuis.,Greediness breeds troubles.,proverbs,,,,,,,4,26
,Inda ní Barîtōraguza.,À chacun son plat.,To each their own dish.,proverbs,,,,,,,3,21
,Inda ní akamenēsha bānga.,Le désir de plus peut pousser quelqu'un à trahir ceux qu'il tenait autrefois en estime.,The desire for more can drive one to betray those they once held dear.,proverbs,,,,,,,4,25
,Inda ní akarúta umwâna.,Un estomac vide n'a pas d'oreilles.,An empty stomach has no ears.,proverbs,,,,,,,4,23
,Inda ní amahănga.,Les désirs de l'humanité sont aussi infinis que le ciel.,The desires of humankind are as endless as the sky.,proverbs,,,,,,,3,17
,Inda ní sēha uzána.,L'estomac n'a pas de fond.,The stomach has no bottom.,proverbs,,,,,,,4,19
,Inda ní umwânsi.,La cupidité est le pire ennemi.,Greed is the worst ennemy.,proverbs,,,,,,,3,16
,Inda uyibarira icó wayirărije ntúyibaríra icó wayihăye.,"Le repas passé est parti, séduis le ventre avec la promesse de nouvelles saveurs.","The past meal is gone, entice the stomach with the promise of new flavors.",proverbs,,,,,,,7,55
clips/sound_proverb/prov030.mp3,Inda y'uwundi irakoma induru nti wumva.,Vous ne pouvez pas entendre le ventre de quelqu'un d'autre crier.,You can't hear somebody else's belly screaming.,proverbs,,,,,,,6,39
,Inda y'ûmwôro ibonekēsha agasámo.,"Dans la misère, le vrai caractère est souvent révélé.","In misery, true character is often revealed.",proverbs,,,,,,,4,33
,Indakûzi ntímutāhána ubukwé.,L'intimité ne mène pas toujours au mariage.,Intimacy doesn't always lead to marriage.,proverbs,,,,,,,3,28
,Indarayi  iza isaha zingahe?,Le train arrive à quelle heure?,What time does the train arrive?,general,,,,,,,4,28
,Indege yegejwe inyuma.,Le vol est retardé.,The flight is delayed.,general,,,,,,,3,22
,Indero yo ku ziko ntigihabwa abana,La discipline du foyer n'est plus donnée aux enfants,Home discipline is no longer given to children,general,,,,,,,6,34
,Indoto yanje n'ugutembera,Mon rêve est de voyager.,My dream is to travel.,general,,,,,,,3,25
,Indoto yanje niyo gufata ingendo.,Mon rêve est de voyager.,My dream is to travel.,general,,,,,,,5,33
,Indoto zanje ni gutembera.,Mon rêve est de voyager.,My dream is to travel.,general,,,,,,,4,26
,Indyá y'úmugayo irya umugabo.,"Pour prendre aux puissants, il faut être puissant.","To take from the powerful, one must be powerful.",proverbs,,,,,,,4,29
,Indûrú ntígānzá ingoma.,Pleurer ne noiera pas le son du tambour.,Crying won't drown out the sound of the drum.,proverbs,,,,,,,3,23
,Indārandîye ní yo mugabo.,Celui qui peut remplir son propre estomac se tient grand parmi les hommes.,He who can fill his own stomach stands tall among men.,proverbs,,,,,,,4,25
,Ingaruka mbi bifise ku rurimi rw’ikirundi ni izihe?,Quels sont les effets négatifs sur la langue kirundi ?,What are the negative effects on the Kirundi language?,general,,,,,,,8,51
,Ingayi ya cāne uyitega Uburŭndi.,"Celui qui rejette constamment ce qui lui est donné pourrait se voir offrir quelque chose de plus grand que prévu, juste pour voir sa réaction.","He who consistently rejects what is given might offered something greater than anticipated, just to see his reaction.",proverbs,,,,,,,5,32
,Ingeso irarába ntíhwērá.,"Les mauvaises habitudes peuvent disparaître brièvement, mais elles ressurgissent avec le temps.","Bad habits may vanish briefly, but they resurface over time.",proverbs,,,,,,,3,24
,Ingeso ntíryāmírwa.,Ne laissez pas les mauvaises habitudes devenir votre zone de confort.,Don't let bad habits become your comfort zone.,proverbs,,,,,,,2,19
,Ingeso ntízīndúka.,"Les mauvaises habitudes s'infiltrent progressivement, comme un voleur dans la nuit.","Bad habits sneak in gradually, like a thief in the night.",proverbs,,,,,,,2,18
,Ingeso y'úrugó ntíyūbáka urŭndi.,Ce qui fonctionne pour un couple peut ne pas fonctionner pour un autre.,What works for one couple may not work for another.,proverbs,,,,,,,4,32
,Ingingo ya 49 Nta munyagihugu ashobora kwangazwa.,Article 49 Aucun citoyen ne peut se voir refuser la citoyenneté.,Article 49 No citizen may be denied citizenship.,general,,,,,,,7,49
,Ingo tubāné ní we ingo twānkáne.,Celui qui essaie trop fort pour votre amour est celui dont la haine surgira rapidement.,The one who tries too hard for your love is the one whose hatred will surface rapidly.,proverbs,,,,,,,6,32
,Ingoma ntó yīca nka níni.,L'épée d'un petit royaume est aussi mortelle que celle d'un grand royaume.,The sword of a small kingdom is as deadly as that of a large kingdom.,proverbs,,,,,,,5,25
,Ingoma nzīzá ní iyigúkijije.,Un bon leader protège son troupeau de la tempête.,A good leader shields their flock from the storm.,proverbs,,,,,,,4,28
clips/sound_proverb/prov023.mp3,Ingoma yagúkānze irahuhuma ugahūnga.,Il est sage de reconnaître les signes de danger.,It is wise to recognize the signs of danger.,proverbs,,,,,,,4,36
,Ingoma yīmana ivyăyo.,Les leaders ont le pouvoir d'accorder ou de refuser à leur guise.,Leaders have the authority to grant or deny as they see fit.,proverbs,,,,,,,3,21
,Ingwe ntíyarí ízi gufátira kw'īzosi yarîgīshijwe.,Même un tigre doit apprendre ses compétences de chasse.,Even a tiger needs to be taught its hunting skills.,proverbs,,,,,,,6,49
,Ingéreká ziri ubwôko buné,Il existe quatre types d'indicateurs,There are four types of indicators,general,,,,,,,4,25
