File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Aravuga ikirundi nyaco,Il parle très bien le kirundi,He speaks excellent Kirundi,grammar,,,,,,,3,22
,Aravuza gitari.,Il joue de la guitare.,He plays the guitar.,general,,,,,,,2,15
,Aravuza igitari.,Il joue de la guitare.,He plays the guitar.,general,,,,,,,2,16
,Ari guteka,Elle cuisine,She is cooking,grammar,,,,,,,2,10
,Ari i Bujumbura,Il est à Bujumbura,He is in Bujumbura,general,,,,,,,3,15
,Ariko akora ikinga.,Il répare la bicyclette.,He repairs the bicycle.,general,,,,,,,3,19
,Ariko akora imyimenyerezo ngorora mubiri,Elle fait du yoga.,She does yoga.,general,,,,,,,5,40
,Ariko arakora ikinga.,Il répare la bicyclette.,He repairs the bicycle.,general,,,,,,,3,21
,Ariko arakora yabonye inzoka,"En travaillant, il a vu un serpent",While working he saw a snake,grammar,,,,,,,4,28
,Ariko arandika ibaruwa.,Elle écrit une lettre.,She writes a letter.,general,,,,,,,3,23
,Ariko arandika ikete.,Elle écrit une lettre.,She writes a letter.,general,,,,,,,3,21
,Ariko aranyonga imodoka,Il conduit une voiture.,He drives a car.,general,,,,,,,3,23
,Ariko araririmba ururirimbo.,Elle chante une chanson.,She sings a song.,general,,,,,,,3,28
,Ariko aravuza igitari.,Il joue de la guitare.,He plays the guitar.,general,,,,,,,3,22
,Ariko aririmba indirimbo.,Elle chante une chanson.,She sings a song.,general,,,,,,,3,25
,"Ariko ga wa muntu, uri nde, uharira n’imana?","Mais toi mec, qui es-tu pour discuter avec Dieu ?","But you man, who are you that you argue with God?",grammar,,,,,,,8,44
,Ariko hari ingere n’agaheta,Mais je manque de mots,But I'm short of words,general,,,,,,,4,27
,Ariko hari ivyo dukwiye guheba,Mais il y a certains chose à laisser,But there are some things to leave,general,,,,,,,5,30
,Ariko ivyo vyose kugeza unomusi vyinshi vyarahindutse kubera haje ISHURE SHINGIRO,Désormais beaucoup des choses ont changé depuis l'arrivée de l'école fondamentale,Now a lot of things have changed since the arrival of basic school,general,,,,,,,11,81
,Ariko mweho abasigaye mubo Tuwatira ndababwira,"Mais toi qui restes de ceux de Thyatire, je te le dis",But you who are left of those in Thyatira I tell You,grammar,,,,,,,7,48
,"Ariko ngaho, haragoye cane, ni mw'isamirizi","Mais là, c'est très dur, c'est à la radio","But there, it's very hard, it's on the radio",general,,,,,,,6,43
,"Ariko rero, navyo birafise amategeko abigenga","Cependant, il a aussi ses propres règles","However, it also has its own rules",general,,,,,,,6,45
,"Ariko weho, ni iki gituma uhinyura mwene So?","Mais toi, pourquoi juges-tu ton frère ?","But you, why do you judge your brother?",grammar,,,,,,,8,44
,Ariko yandika ibaruwa.,Elle écrit une lettre.,She writes a letter.,general,,,,,,,3,22
,Ariko yandika ikete.,Elle écrit une lettre.,She writes a letter.,general,,,,,,,3,20
,Ariruka buri gitondo.,Il court tous les matins.,He runs every morning.,general,,,,,,,3,21
,Asa numuntu afise agahinda uyu musi.,Il semble triste aujourd'hui.,He seems sad today.,general,,,,,,,6,36
,"Asanga iraso rirajojota. Akubitiza akajisho hasi, abona ya mbugita. Aca aramuhanagura ya maraso yongera aramuvura.","Il constatant qu'elle saignait. En jetant un œil par dessous,il voyant le couteau. Il l'a lavé tout son sang et la soigner","He noticed that she was bleeding. Peeking out from underneath, he saw the knife. He washed away all her blood and healed her",general,,,,,,,15,114
,Asangwa abapfuye batazuka na Kristo ntarakazuka,"Si les morts ne ressuscitent pas, même le Christ n’est certainement pas ressuscité","If the dead do not rise, even Christ has certainly not risen",grammar,,,,,,,6,47
,"Asangwa mwabikoze, muzohembwa","Si vous l'avez fait, vous serez payé",If you did it you will be paid,grammar,,,,,,,3,29
,"Asangwa ukugororoka kuzanwa n’ivyagezwe, Kristo azoba yapfiriye ubusa","Si la justice était apportée par la loi, Christ serait mort en vain","If righteousness is brought by the law, Christ would have died in vain",grammar,,,,,,,8,69
,"Ashitse, nagize nkuko mama yari yampanuye.","Quand elle est arrivée, j'ai fait comme ma mère m'avait conseillé","When she arrived, I did as my mother advised me",general,,,,,,,6,42
,Asá n'írirênga vy’úkurí.," Elle est Vraiment éblouissante.",Who is really stunning.,jokes,,,,,,,3,24
,Atamba neza cane.,Elle danse très bien.,She dances very well.,general,,,,,,,3,17
,"Atambariye, simba nje","S'il ne me l'avait pas dit, je ne serais pas venu",If he hadn’t told me I wouldn’t have come,grammar,,,,,,,3,21
,Atangura gutinya gusubira i muhira,Il commença à avoir peur de rentrer chez lui.,He began to fear going home.,general,,,,,,,5,34
,Atangura ukundi gusha kwigishiriza ku nkombe y’ikiyaga,Il recommença à enseigner au bord du lac,He began anew to teach on the shore of the lake,grammar,,,,,,,7,54
,"Atarinda kubanza gutanga ibimazi vyivyiwe vyaha uko bukeye, nka ba baherezi bakuru bandi","Sans avoir à offrir quotidiennement des sacrifices pour ses propres péchés, comme les autres prêtres","Without having to first offer sacrifices for his own sins daily, like those other priests",grammar,,,,,,,13,88
,Ateka neza cane.,Elle cuisine très bien.,She cooks very well.,general,,,,,,,3,16
,Avuga ivy’ubwami bw’Imana,Il a parlé du royaume de Dieu,He spoke of the kingdom of God,grammar,,,,,,,3,25
,"Avuye mu mazi, aca abona i juru ritandukanye","Lorsqu'il sortit de l'eau, il vit aussitôt le ciel ouvert","When he came out of the water, immediately he saw heaven opened",grammar,,,,,,,8,44
,Avyuka kare cane.,Il se lève très tôt.,He gets up very early.,general,,,,,,,3,17
,Aya ni amahaha.,Ceux sont des poumons.,Those are lungs.,vocabulary,,,,,,,3,15
,Aya ni amata.,C'est du lait.,This is milk.,vocabulary,,,,,,,3,13
,Ayo majambo arahambaye cane.,Ces mots sont géniaux.,These words are awesome.,general,,,,,,,4,28
,"Ayo makomine atatu akaba ari Muha, Mukaza na Ntahangwa","Ces trois communes sont Muha, Mukaza et Ntahangwa.","These three communes are Muha, Mukaza and Ntahangwa.",general,,,,,,,9,54
,Ayo ni amajambo nyayo,Ce sont les bons mots,Those are the right words,grammar,,,,,,,4,21
,Ayo ni yo majambo twakuze twumva,Ce sont les mots avec lesquels nous avons grandi,These are the words we grew up with,general,,,,,,,6,32
,Azindutse yari gushobora gushikayo,"S'il s'était levé tôt, il aurait pu y arriver",If he had gotten up early he would have been able to get there,grammar,,,,,,,4,34
,"Azokubura imbuga yiwe neza, yimburire ingano ziwe mu kigega",Il balayera bien sa cour et récoltera son grain dans le hangar,"He will sweep his courtyard well, and will harvest his grain into the storage house",grammar,,,,,,,9,59
,Azoza havuye wewe.,Il va venir après toi.,He will come after you.,general,,,,,,,3,18
,Azoza inyuma yawe.,Il va venir après toi.,He will come after you.,general,,,,,,,3,18
,Ba ari mwebwe mwiraba,Regardez-vous,Look at yourselves,grammar,,,,,,,4,21
,Ba ari mwebwe mwisuzuma,Examinez-vous »,Examine yourselves”,grammar,,,,,,,4,23
,Ba bagabo mwashira mw'ibohero bari mu rusengero,Ces hommes que tu as mis en prison sont dans l'église,Those men you put in prison are in the church,grammar,,,,,,,7,47
,Ba muricaye hano,Asseyez-vous ici,Sit here,grammar,,,,,,,3,16
,Bababajwe cane n’uko bigisha abantu,Ils ont été blessés par le fait qu'ils ont enseigné aux gens,They were hurt by the fact that they taught the people,grammar,,,,,,,5,35
,Babigira bafise ico bagamije,Ils font cela avec un objectif,They do this with a purpose,general,,,,,,,4,28
,Babura ingene botamira n’agatsima,je n'avais pas l'occasion d'avaler ne serait-ce qu'un peu de pain,lacked opportunity to swallow even a little bread,grammar,,,,,,,4,33
,Babuze ingene bamushikira basambura inzu,"N'ayant aucun moyen de s'approcher de lui, ils ont démoli la maison.","Lacking a way to get near him, they tore down the house",grammar,,,,,,,5,41
,"Baca bareka insenga, baramukurikira","Immédiatement, ils quittèrent les filets et le suivirent",Immediately they left the nets and followed him,grammar,,,,,,,4,35
,"Bagabo, ni muze kudutabara!","Hommes, venez nous aider !","Men, come and help us!",grammar,,,,,,,4,27
