File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Agacerere karamfasha mugukora.,Le silence m'aide à travailler.,Silence helps me work.,general,,,,,,,3,29
,Agacerere karampfasha gukora.,Le silence m'aide à travailler.,Silence helps me work.,general,,,,,,,3,28
,Agacîwe karûma.,Une branche coupée devient sèche.,A cut branch becomes dry.,proverbs,,,,,,,2,15
,Agahemo gatēra ikijûjú ubwĭbone.,"Quand on se moque de lui, le sot pense qu'il est unique.","When people mock him, the fool thinks he's unique.",proverbs,,,,,,,4,32
clips/sound_humour/h2.mp3,Agahume kahwaniye n'akandi ku mwonga ngo rinda tubane waragowe ndagorwa!,"""Vous êtes malheureux et moi aussi, alors supportez ma compagnie"", comme disait le Fantôme rencontrant un compagnon au cœur d'un marais !","""You are unhappy and so will I be, so endure my company"", as the Phantom said meeting a companion in the heart of a swamp!",jokes,,,,,,,10,72
,Agahîmbo kībagiza kwūgara.,Un estomac satisfait peut oublier de fermer la porte.,A satisfied stomach may forget to secure the door.,proverbs,,,,,,,3,26
,Agahīnda sí uguhόra uríra.,La douleur ne pleure pas toujours.,Pain is not always crying.,proverbs,,,,,,,4,26
clips/sound_humour/h49.mp3,Agakecuru gashikuye igikoba kigaterera ku nkingi kati nakurya ntitwarwana!,"""Je n'ai que des sentiments paisibles envers toi et je voulais juste te manger"", comme dit la petite vieille femme en jetant de sa tête le pilier de la cabane dans son effort pour déchiqueter un morceau de cuir !","""I have only peaceful feelings towards you and I just wanted to eat you,"" as the little old woman said, throwing from her head the pillar of the hut in her efforts to shred a piece of leather!",jokes,,,,,,,9,74
clips/sound_humour/h27.mp3,Agakecuru karose gapfa kati maze simvyanka!,"""Bien sûr, je ne vais pas refuser ça"", s'exclame la petite vieille au réveil d'un cauchemar où elle s'est vue mourir !","""Of course, I'm not going to refuse that,"" exclaims the little old woman as she wakes up from a nightmare where she saw herself dying!",jokes,,,,,,,6,43
,Agakuku karimīsha mu rwĭri.,Celui qui ne suit que la marée peut se perdre en mer.,The one who only follows the tide may get lost at sea.,proverbs,,,,,,,4,27
,Agakúrikiwe n'índa ntígakurá.,Une succession rapide de grossesses entrave une croissance appropriée.,Rapid succession of pregnancies hinders proper growth.,proverbs,,,,,,,3,29
,Agakúru ntígakuríra ubúsa.,"Quand une histoire voyage loin, il y a souvent une vérité ou un but à l'intérieur.","When a story travels far and wide, there's often truth or purpose inside.",proverbs,,,,,,,3,28
,Agakûnze babiri karabânkanīsha.,"Quand deux cœurs battent pour la même passion, l'amour peut se transformer en rivalité.","When two hearts beat for the same passion, love can turn into rivalry.",proverbs,,,,,,,3,31
,Agapfûye kaba gáheze.,"Après la mort, les vivants continuent, et les disparus sont oubliés.","After death, the living move on, and the departed are forgotten.",proverbs,,,,,,,3,21
,Agapfûye kabazwa ivú.,La voix d'un mort est rarement entendue.,A dead man's voice is seldom heard.,proverbs,,,,,,,3,21
,"Agaruka ubugira gatatu, arababarira.",Il revint une troisième fois et leur dit,He came back the third time and said to them,grammar,,,,,,,4,35
,Agashâje gashira isóni.,"Avec les années, le filtre sur les mots s'affaiblit.","As years pass, the filter on words weakens.",proverbs,,,,,,,3,23
,Agashítsi kā kêra kavūmbika umuriro.,Un vieux bois peut allumer le feu.,An old wood can ignite the fire.,proverbs,,,,,,,5,36
,Agaswi katazôkúra ukērekwa n'úrwŭbi.,Les présages précoces offrent un aperçu du drame de l'adversité qui se déroule.,Early omens offer glimpses into the unfolding drama of adversity.,proverbs,,,,,,,4,36
,Agasózi k'întáhanûrwa kăhīye abagabo bábona.,Celui qui rejette les conseils se retrouve sans aide en temps de besoin.,One who rejects advice finds themselves without a helping hand in times of need.,proverbs,,,,,,,5,44
,Agatu gatēkéye amáhwa karîmena.,Une boule d'épines se piquera elle-même.,A ball of thorns will prick itself.,proverbs,,,,,,,4,31
,Agáti gaterétswe n'Îmâna ntígahenúrwa n'úmuyaga.,"Avec les bénédictions de Dieu, on reste inébranlable face à toutes les adversités.","With God's blessings, one stands unyielding against all odds.",proverbs,,,,,,,5,48
,Aha twotanga uturorero nko kubinyamakuru n’amaradiyo,Nous donnons ici des exemples tels que les journaux et les stations de radio,Here we give examples such as newspapers and radio stations,general,,,,,,,6,52
,Ahakíze hītwa inkóvu.,Une blessure qui guérit est toujours appelée une cicatrice.,A wound that heals is always called a scar.,proverbs,,,,,,,3,21
,Ahantu imodoka rusange zihagarara ni he?,Où est l'arrêt de bus?,Where is the bus stop?,general,,,,,,,6,40
,Ahantu imodoka z'Umuyagankuba zihagarara ni he?,Où est la gare?,Where is the station?,general,,,,,,,6,47
,Aharí abagabo ntíhagwá ibára.,"Là où il y a des hommes intègres, les conflits cessent d'exister.","Where there are men of integrity, conflicts cease to exist.",proverbs,,,,,,,4,29
,Aharí abântu hāma urūnturūntu.,"Là où il y a une foule, il y a des discussions.","Where there's a crowd, there's talk.",proverbs,,,,,,,4,30
clips/sound_proverb/prov032.mp3,Aharí amahóro umuhoro uramwa.,La paix est un atout très important dont dépend tout succès.,Peace is a very important asset on which every success depends.,proverbs,,,,,,,4,29
,Aharí umwěnge haca umuyaga.,"Là où il y a un trou, le vent trouvera son chemin.","Where there's a hole, the wind will find its way in.",proverbs,,,,,,,4,27
,Ahinduka ukundi imbere yabo,Il a changé avant eux,He changed before them,grammar,,,,,,,4,27
clips/sound_proverb/prov019.mp3,Aho Uburundi butunze urutoke hubakwa inzu.,"En harmonie, tout réussit.","In harmony, everything succeeds.",proverbs,,,,,,,6,42
,Aho Yesu azozira abakijijwe bazojanwa na we mw'ijuru,"Quand Jésus reviendra, ceux qui seront sauvés seront emmenés au ciel avec lui","When Jesus comes, those who are saved will be taken into heaven with Him",grammar,,,,,,,9,52
clips/sound_proverb/prov018.mp3,Aho ishari ritari agashato ka Rukwavu gakwira bane.,"Là où il n’y a pas de jalousie, une petite peau de lièvre suffit à couvrir quatre personnes.","Where there is no jealousy, a small hare's leather is enough to cover four people.",proverbs,,,,,,,8,51
,Aho mubona hose nibuka ivya se,"Chaque fois que je le vois, je me souviens de son père",Whenever I see him I remember about his father,grammar,,,,,,,6,31
,"Aho nababona, bari bakirwaye","Quand je les ai vus, ils étaient encore malades",When I saw them they were still sick,grammar,,,,,,,4,28
,Aho naja kumuraba yari yagiye,"Quand je suis allé le voir, il était parti",When I went to see him he had gone,grammar,,,,,,,5,29
,Aho ního natânguriye kugira ibibázo vyó kwìízēra abāntu.,C'est exactement à ce moment-là que mes problèmes de confiance ont commencé.,That's precisely when my trust issues began.,jokes,,,,,,,8,56
,"Aho rero, Abarundi bohahombera cane",C'est là où les burundais perdaient,This is where the Burundians lost,general,,,,,,,5,35
,Aho ryàába arí iryā nyuma mbōnyé ayo maherá.,Je ne savais pas que c'était la dernière fois que je verrais cet argent.,"Little did I know, that was the last time I saw that money.",jokes,,,,,,,8,44
,Aho twabonye Yohana yari arwaye,"Quand nous avons vu John, il était malade",When we saw John he was sick,grammar,,,,,,,5,31
,"Aho ubutumwa bwiza buzovugwa hose mw isi yose, n’ico uyu akoze kizovuga","Partout où l'Évangile sera prêché dans le monde entier, ce que celui-ci a fait sera également annoncé.","Wherever the gospel shall be preached in all the world, that which this one has done will be told also",grammar,,,,,,,12,71
,"Aho uzoja hose, ujane ico gitabo","Où que vous alliez, emportez ce livre avec vous","Wherever you go, take that book with you",grammar,,,,,,,6,32
,"Aho yari aburaniwe ashonje, be n’abari kumwe na we","Quand il était épuisé et affamé, ainsi que ceux qui étaient avec lui","When he was exhausted and hungry, as well as those who were with him",grammar,,,,,,,9,50
,Ahó bwămye ntíbuhavá.,Ce qui est vraiment à toi résistera à l'épreuve du temps.,That which is truly yours will stand the test of time.,proverbs,,,,,,,3,21
,Ahó imbwá ikubítiwe irahagaruka.,"Les insensés revisitent souvent leurs échecs, pensant qu'ils trouveront le succès.","The foolish often revisit their failures, thinking they will find success.",proverbs,,,,,,,4,32
,Ahó imbwá ikubítiwe ntíhasubíra.,La route des ennuis est à éviter après le premier voyage.,The road of trouble is best avoided after the first journey.,proverbs,,,,,,,4,32
,Ahó umugabo ahāndíwe ní ho yīhândūrira.,"Quand un homme est confronté à un problème, il agit rapidement, sans laisser de place à la procrastination.","When a man faces a problem, he acts promptly, leaving no room for delay.",proverbs,,,,,,,6,39
,Ahó umukěcuru atōyé uruhĭndu ahīta mu rugănda.,"Pour les naïfs, trouver une aiguille semble comme découvrir une mine de fer, ce qui conduit à des attentes de plus à venir.","To the naive, finding a needle seems like uncovering an iron mine, leading to expectations of more to come.",proverbs,,,,,,,7,46
,Ahó uvá ntíhakuváko.,Vos racines sont à jamais ancrées dans votre ville natale.,Your roots are forever embedded in your hometown.,proverbs,,,,,,,3,20
,Ahănse ubwâna hamera ubwănwa.,De petits glands poussent de grands chênes.,From little acorns grow mighty oaks.,proverbs,,,,,,,4,29
,Ahό birāyé sí ho vyīrírwa.,"Vous pourriez l'avoir aujourd'hui, mais tout perdre demain.","You might have it today, but you can lose it all tomorrow.",proverbs,,,,,,,5,26
,Ahό umwôro yāníkiye ntíbwūmá.,Les plans des malheureux sont voués à l'échec.,The plans of the unfortunate are doomed to fail.,proverbs,,,,,,,6,49
,Ahό vyīríwe sí ho birārá.,Les fortunes peuvent changer aussi rapidement que le vent.,Fortunes can shift as quickly as the wind.,proverbs,,,,,,,5,25
,"Ah’ ivyagezwe bitari, nta gicumuro kiba kiriho","Là où il n'y a pas de commandements, il n'y a pas de péché","Where there are no commandments, there is no sin",grammar,,,,,,,7,46
,Ak'í muhana kāza imvúra ihíse.,Un cœur guéri peut guérir les autres.,A healed heart can heal others.,proverbs,,,,,,,5,30
,Aka kazi karabishe.,Ce travail est ennuyeux.,This job is boring.,general,,,,,,,3,19
,Akaba akize,Puisse-t-il être guéri,Would that he were cured,grammar,,,,,,,2,11
,Akabígira kábīzi karya imbóga kâritse.,"Opter pour un chemin que vous savez être mauvais, les conséquences vous ouvriront les yeux.","Opting for a path you know is wrong, consequences will open your eyes.",proverbs,,,,,,,6,49
