File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Ni wewé watōyé aryá maherá yarí ku kabàáti?,C'est toi qui as pris l'argent qui était sur la table ?,It's you who took the money that was on the table?,jokes,,,,,,,21,128
,Ivyo birāto wāmbáye wabíguze angâhé?,Combien as-tu payé ces chaussures ?,How much did you buy those shoes?,jokes,,,,,,,6,40
,Arasúbizayó ati : Miré umuriro,Lui : Avaler du feu ?,Him: Swallow fire,jokes,,,,,,,6,32
,"Bella : Hèé màá, utânguriye iphone 13 nca nîyahura",Bella : Maman si tu ne m'achètes pas un Iphone 13 je pourrais me suicider,Bella: Mom if you don't buy me an Iphone 13 i might kill my self,jokes,,,,,,,10,52
,Bubu : Alooo Muyòómba !! úrakomeye ?,Bubu : Salut oncle ! Comment ça va ?,Bubu: Hello uncle! How are you?,jokes,,,,,,,8,38
,Bubu: Ni sawá mugá yâ maherá y'íterefòóne yānje wasígira Māwé yangúriyemwó ibitûmburá n’íkabuturá gusa !,"Bubu : Oui, ça va aussi, mais avec l'argent que tu as donné à maman pour m'acheter un téléphone, elle m'a seulement acheté un pain et une culotte.","Bubu: Yes, I am fine too, but with the money you gave to mom to buy me a phone, she only bought me a bread and underwear.",jokes,,,,,,,16,106
,Hewé urabêrewe cāne unó mùúsi kwèéri,Tu as vraiment l'air bien aujourd'hui.,You really look good today.,jokes,,,,,,,7,38
,Jēwé: Urī ndé?,Moi : Qui est là ?,Me: Who's there?,jokes,,,,,,,4,16
,Mu Burùúndi: Kirimwó amatára n’âmâzi?,Au Burundi : Quels autres produits vais-je recevoir en bonus avec ces chaussures?,In Burundi: What other items am I getting as a bonus with these shoes?,jokes,,,,,,,7,41
,"Muyòómba: ēgó, nàáwe gúte ?","Oncle : Oui, ça va. Et toi ?","Uncle: Yes, I am fine. How about you?",jokes,,,,,,,6,29
,Mwìígīsha: Korēsha amaherá mu ryùúngāne.,Le professeur a dit : Utilisez argent dans une phrase.,The teacher: Use Money in a sentence.,jokes,,,,,,,7,45
,Māwé yambwîye ati: Kubêra ikí utāzí ubwênge nka bárya bâna bó kwā Mátayó?,Ma mère : Pourquoi n'es-tu pas aussi intelligent que les enfants de Mathieu ?,My mom: Why are you not smart like those kids of Mathew?,jokes,,,,,,,14,75
,Nawé ati : Ncīré umuceri?,Lui : Recracher le riz ?,Him: Spit out the rice?,jokes,,,,,,,6,27
,Nyina wa Bella : Urāmbwīra ncūmbé butó nìímba udáharí,Mère de Bella : Préviens-moi tôt pour que je puisse préparer moins de nourriture.,Bella's mom: Tell me early so I can prepare less food.,jokes,,,,,,,10,55
,Nàánje nca nsānga namwīshuye nti : Wehó kó utūgúrutse mu mutwé nka nyina wa Dylan?,Moi : Pourquoi n'es-tu pas aussi cool que la maman de Dylan ?,Me: Why are you not cool like Dylan's mom?,jokes,,,,,,,16,84
,Nàátwe tuti : Inywa amâzi bàási ! Nawé ati: Ndawuyòóngēshe ?,"Nous : Eh bien, alors, bois de l'eau ! Lui encore : Je veux pas le diluer ?","Us: Well, then, wash it down with water! Him again: Do you want me to dilute it?",jokes,,,,,,,12,63
,"Sé wîwé: Oyaa, ivyo ntívyōshoboka kukó uryá ní Māwé wānje.","Son père : Non, ce n'est pas possible, car c'est ma maman.","His Dad: No, that's not possible, because she is my mom.",jokes,,,,,,,11,60
,Turōngera tuti: Wumire bàási.,"Nous encore : D'accord, avale-le !","Us again: Alright, swallow it!",jokes,,,,,,,5,31
,Ubu tuvugána ndāye kwa bā Dylan.,Maintenant je crois que je vais passer la nuit chez Dylan.,Now I'm spending the night to Dylan's house.,jokes,,,,,,,7,33
,Umufaràánsa: Urakóze cāne.,Un Français : Merci bien.,A French person: Thank you very much.,jokes,,,,,,,4,27
,Umugēnzi: Do do do.,"Ami : Toc, toc.","Friend: Knock, knock.",jokes,,,,,,,5,22
,Umugēnzi: Ni jēwé kīntu cā mbere ukūndá mu buzima bwāwe.,"Ami : C'est moi, la chose que tu aimes le plus dans la vie.","Friend: It's me, the number one thing you mostly like in life.",jokes,,,,,,,11,57
,"Umukòóbwa: Oya núkurí, Jēwé nkorēsha vaseline gusa.","Une fille : Non, j'utilise seulement de la Vaseline.","A girl: No, I only use Vaseline.",jokes,,,,,,,8,52
,Umunyâmēriká: Urakóze.,Un Américain : Merci.,An American: Thank you.,jokes,,,,,,,3,23
,"Umunyêshùúre : Ntayo mfisé nōkorêsha, ndakenye.","L'élève a répondu : ""Je n'ai pas d'argent à utiliser je suis fauché.""",The student: I don't have any money to use I am broke,jokes,,,,,,,7,49
,Umunyêshùúre nawé arōngera ati: Nōné kubêra ikí wāmá udúhana iyó tutākozé devoir?,"L'élève répliqua : ""Alors pourquoi nous punissez-vous toujours chaque fois que nous n'avons pas fait nos devoirs ?""",The student: So why do you always punish us whenever we haven't done the homework?,jokes,,,,,,,13,83
