File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Akayabu karyamye kuntebe.,Le chat dort sur le canapé.,The cat is sleeping on the sofa.,general,,,,,,,3,25
,Akayaga ntikagira agatotsi,L'air est pur.,The air is pure.,general,,,,,,,3,26
,Akazi kanyu nakahe?,Quel est votre travail?,What is your job?,general,,,,,,,3,19
,Akazi k’í bwămi kīca uwĭcaye.,"Le palais peut avoir de l'or, mais il a aussi de lourds fardeaux..","The palace may have gold, but it also has heavy burdens.",proverbs,,,,,,,5,29
,Akaziri karîzana.,Le malheur arrive sans annonce.,Misfortune comes without announcement.,proverbs,,,,,,,2,17
,Akaziri ntíkaziríkwa.,"Les problèmes frappent à chaque porte, grande ou petite.","Troubles knock on every door, big or small.",proverbs,,,,,,,2,21
,Akazímiye ntáho katarōndérerwa.,"Dans le labyrinthe de la perte, cherche chaque passage possible.","In the labyrinth of loss, seek every possible passage.",proverbs,,,,,,,3,31
,Akazîkīrá k'úmugabo kazīkwa n'îsí.,La tombe cache l'animosité d'un homme.,The tomb conceals a man's animosity.,proverbs,,,,,,,4,34
,Akora ikarashishi kenshi,Il fait du sport régulièrement.,He exercises regularly.,general,,,,,,,3,24
,Akora ikí ?,Que fait-il ?,What does he do?,jokes,,,,,,,3,11
,Akorera mu biro.,Il travaille dans un bureau.,He works in an office.,general,,,,,,,3,16
,Akâna k'ûmwôro kīrabura kátarogá.,La main de la pauvreté peut rendre même un bel enfant semblant abandonné.,Poverty's hand can make even a lovely child seem forlorn.,proverbs,,,,,,,4,33
,Akâna karí ubwênge gasīnzīra imbonamwūko.,Un individu sage se positionne là où les opportunités sont les plus visibles.,A wise individual positions themselves where opportunities are most visible.,proverbs,,,,,,,5,41
,Akêzá karîgura.,Un bon produit se vend de lui-même.,A good product sells itself.,proverbs,,,,,,,2,15
,Akêzá kēza umutíma.,Les choses les plus belles apportent la plus grande joie.,The most beautiful things bring the greatest joy.,proverbs,,,,,,,3,19
,Akăhabāye ntíkahavá.,"Ce qui est fait est fait, cela ne peut être défait.","What is done is done, it cannot be undone.",proverbs,,,,,,,2,20
,Akăje karêmerwa.,"Accepte la nuit, car elle dévoile les étoiles.","Accept the night, for it unveils the stars.",proverbs,,,,,,,2,16
,Akăje kárusha imbwá kwōta kaba gáshāka gushá.,Les fous se précipitent là où les anges craignent de s'aventurer.,Fools rush in where angels fear to tread.,proverbs,,,,,,,7,45
,Akămi kā mūntu ní umutíma wîwé.,Le cœur est le joyau de l'homme.,The heart is the jewel of a man.,proverbs,,,,,,,6,31
,Akănse urahéba.,Il vaut mieux abandonner une tâche impossible que de perdre du temps et de l'énergie.,It is better to abandon an impossible task than to waste time and energy.,proverbs,,,,,,,2,15
,Akŏsha umusyi kava mū ngásīro.,"Celui qui présente la tentation se trouve toujours à proximité, souvent parmi vos plus chers.","The one who presents temptation is always found close by, often among your dearest.",proverbs,,,,,,,5,30
,Akŭzuye ntíkamuríkwa.,Les faits visibles n'ont pas besoin de confirmation.,Visible facts need no confirmation.,proverbs,,,,,,,2,21
,Amaborōgo y'ûmwâgazi ntátērá impuhwe ingwe.,Les larmes de l'agneau ne touchent pas le cœur du tigre.,The lamb's tears do not move the tiger's heart.,proverbs,,,,,,,5,43
,Amabwirizwa yose ategerezwa guhindurwa mu kirundi.,Toutes les commandes doivent être traduites en Kirundi.,All orders must be translated into Kirundi.,general,,,,,,,6,50
,Amabárankúru yashíkanye inyěnzi i Buha.,Un auditeur dévoué voyage loin pour des histoires qui captivent.,A dedicated listener journeys far for tales that captivate.,proverbs,,,,,,,5,39
,Amabóko ashikîriye ubuhîye yībagira umushike.,La fatigue de l'ouvrier fatigué s'efface lorsque le trésor du succès brille devant lui.,The weary laborer's fatigue fades when the treasure of success gleams before them.,proverbs,,,,,,,5,45
,Amabóko matīndi y'úmukŏbwa asegura uwĭshe sé.,Une femme insensée aide involontairement ses propres ennemis.,A foolish woman unwittingly aids her own enemies.,proverbs,,,,,,,6,45
,Amabānga abiri ntábāngíkana.,Vous ne pouvez pas monter deux chevaux avec un derrière.,You cannot ride two horses with one behind.,proverbs,,,,,,,3,32
,Amacúmu arwānyá inzara ní amasúka.,La table de l'abondance est dressée par la main laborieuse.,The table of abundance is set by the laboring hand.,proverbs,,,,,,,5,34
,Amacúmu atērwa abagabo.,Seuls les forts peuvent supporter le poids des défis de la vie.,Only the strong can bear the weight of life's challenges.,proverbs,,,,,,,3,23
,Amaguru yītāngira ku buriri agatāhira mu mirâmbizo.,Ceux qui s'efforcent d'être à l'avant-plan finissent souvent par être à la traîne.,Those who strive to be in the forefront often end up trailing behind.,proverbs,,,,,,,7,51
,Amagára aruta amagana.,Un corps sain vaut plus que toutes les richesses.,A healthy body is worth more than all the riches.,proverbs,,,,,,,3,22
,Amagúfa abiri ntábāngíkana mw'ītáma.,On ne peut pas tenir deux os dans la bouche simultanément.,Two bones cannot be held in the mouth simultaneously.,proverbs,,,,,,,4,36
,Amagŏrwa ntásigá ayăndi.,Les ennuis ne viennent jamais seuls.,Troubles never come alone.,proverbs,,,,,,,3,24
,Amagŏrwa sí ay'ŭmwe.,"L'adversité ne discrimine pas, elle touche tout le monde.","Adversity does not discriminate, it touches everyone.",proverbs,,,,,,,3,20
,Amaherá ntíyīrírwa ahó yarāyé.,"Comme le vent, l'argent voyage et change de mains.","Like the wind, money travels and changes hands.",proverbs,,,,,,,4,30
,Amahása avyinirwa ahό yavūkíye.,Les jumeaux sont célébrés là où ils sont nés.,Twins are celebrated where they were born.,proverbs,,,,,,,4,31
,Amahóro aba mū nda.,La vraie paix se trouve dans les profondeurs de l'âme.,True peace is found in the depths of the soul.,proverbs,,,,,,,4,19
,Amahóro aruta amahōnda.,"La paix est le véritable sustento de l'âme, surpassant tout festin.","Peace is the true sustenance of the soul, surpassing any feast.",proverbs,,,,,,,3,23
,Amahóro atāngurira mu mutíma.,La paix commence de l'intérieur.,Peace starts from within.,proverbs,,,,,,,4,29
,Amahóro ava mū nda.,La paix vient de l'intérieur.,Peace is from within.,proverbs,,,,,,,5,27
